"booking_service_id","booking_id","service_id","quantity","unit_price_inr","base_amount_inr","gst_amount_inr","total_price_inr","service_date","service_time","status","staff_assigned","special_instructions","guest_rating","guest_feedback","created_at","updated_at"
"BS000014","IND002279","SVC0212",2,"4305.14","8610.28","1549.85","10160.13","2025-09-11","12:28:00","Pending","EMP0065","Call before arrival",NULL,NULL,"2025-09-10 17:06:40","2025-09-11 18:06:40"
"BS000015","IND000242","SVC0026",4,"7076.11","28304.44","5094.80","33399.24","2025-10-04","11:24:00","Pending","EMP0796","Private session",3,NULL,"2025-10-04 15:06:40","2025-10-04 18:06:40"
"BS000016","IND003195","SVC0163",2,"4364.21","8728.42","1571.12","10299.54","2025-07-19","22:20:00","Pending","EMP0487","Quiet service please",3,"Excellent service","2025-07-18 01:06:40","2025-07-19 18:06:40"
"BS000017","IND003442","SVC0147",3,"4414.06","13242.18","2383.59","15625.77","2025-07-19","09:13:00","Cancelled","EMP0733","Quiet service please",3,"Average experience","2025-07-18 08:06:40","2025-07-19 18:06:40"
"BS000018","IND000568","SVC0217",4,"761.90","3047.60","548.57","3596.17","2025-10-07","10:57:00","In Progress","EMP0694","Traditional setup",4,"Good service","2025-10-04 20:06:40","2025-10-07 18:06:40"
"BS000019","IND000782","SVC0260",4,"7988.13","31952.52","5751.45","37703.97","2025-08-22","17:26:00","Cancelled","EMP0526","Hindi speaking staff",5,"Average experience","2025-08-22 07:06:40","2025-08-22 18:06:40"
"BS000020","IND004403","SVC0212",4,"4290.05","17160.20","3088.84","20249.04","2025-08-22","22:12:00","Pending","EMP0632","Late evening service",4,"Very good experience","2025-08-21 17:06:40","2025-08-22 18:06:40"
"BS000021","IND004117","SVC0250",5,"5872.60","29363.00","5285.34","34648.34","2025-08-23","13:42:00","Completed","EMP0168","None",NULL,"Outstanding","2025-08-21 01:06:40","2025-08-23 18:06:40"
"BS000022","IND001588","SVC0045",2,"3680.66","7361.32","1325.04","8686.36","2025-08-13","17:39:00","Cancelled","EMP0324","Traditional setup",4,"Outstanding","2025-08-13 13:06:40","2025-08-13 18:06:40"
"BS000023","IND004957","SVC0237",4,"1282.76","5131.04","923.59","6054.63","2025-09-03","17:44:00","Pending","EMP0112","No spicy food",NULL,"Good service","2025-08-31 21:06:40","2025-09-03 18:06:40"
"BS000024","IND003483","SVC0292",4,"2657.70","10630.80","1913.54","12544.34","2025-10-01","13:55:00","Completed","EMP0602","None",4,"Very good experience","2025-09-29 00:06:40","2025-10-01 18:06:40"
"BS000025","IND001348","SVC0279",1,"6545.59","6545.59","1178.21","7723.80","2025-10-17","11:12:00","In Progress","EMP0024","No spicy food",3,"Good service","2025-10-17 13:06:40","2025-10-17 18:06:40"
"BS000026","IND004555","SVC0209",3,"1641.03","4923.09","886.16","5809.25","2025-07-15","19:11:00","Cancelled","EMP0382","Private session",5,"Very good experience","2025-07-14 16:06:40","2025-07-15 18:06:40"
"BS000027","IND001730","SVC0049",5,"7184.32","35921.60","6465.89","42387.49","2025-08-10","08:44:00","Cancelled","EMP0121","Traditional setup",3,"Highly recommended","2025-08-09 13:06:40","2025-08-10 18:06:40"
"BS000028","IND004097","SVC0213",3,"2929.18","8787.54","1581.76","10369.30","2025-09-22","22:38:00","Cancelled","EMP0633","English speaking staff",4,NULL,"2025-09-20 18:06:40","2025-09-22 18:06:40"
"BS000029","IND000563","SVC0098",1,"1158.58","1158.58","208.54","1367.12","2025-10-06","14:31:00","Completed","EMP0487","Traditional setup",5,"Excellent service","2025-10-05 21:06:40","2025-10-06 18:06:40"
"BS000030","IND002540","SVC0083",4,"6941.61","27766.44","4997.96","32764.40","2025-08-14","16:45:00","Confirmed","EMP0669","Vegetarian preference",5,NULL,"2025-08-13 09:06:40","2025-08-14 18:06:40"
"BS000031","IND004998","SVC0119",5,"5073.13","25365.65","4565.82","29931.47","2025-09-18","14:41:00","Pending","EMP0133","Traditional setup",5,NULL,"2025-09-16 08:06:40","2025-09-18 18:06:40"
"BS000032","IND003522","SVC0284",4,"1578.29","6313.16","1136.37","7449.53","2025-08-11","07:37:00","Pending","EMP0790","None",3,"Very good experience","2025-08-09 17:06:40","2025-08-11 18:06:40"
"BS000033","IND000589","SVC0050",4,"5961.45","23845.80","4292.24","28138.04","2025-07-12","19:58:00","Pending","EMP0729","No spicy food",5,"Average experience","2025-07-11 12:06:40","2025-07-12 18:06:40"
"BS000034","IND002174","SVC0240",3,"2249.16","6747.48","1214.55","7962.03","2025-09-01","17:37:00","Confirmed","EMP0252","Late evening service",NULL,NULL,"2025-09-01 02:06:40","2025-09-01 18:06:40"
"BS000035","IND004934","SVC0196",1,"3779.44","3779.44","680.30","4459.74","2025-07-06","18:37:00","Completed","EMP0363","English speaking staff",NULL,"Satisfied","2025-07-03 23:06:40","2025-07-06 18:06:40"
"BS000036","IND001193","SVC0094",3,"3101.61","9304.83","1674.87","10979.70","2025-09-05","15:06:00","In Progress","EMP0197","Group service",NULL,"Good service","2025-09-04 10:06:40","2025-09-05 18:06:40"
"BS000037","IND000313","SVC0149",4,"4247.75","16991.00","3058.38","20049.38","2025-10-07","11:20:00","In Progress","EMP0045","English speaking staff",5,"Satisfied","2025-10-05 11:06:40","2025-10-07 18:06:40"
"BS000038","IND002925","SVC0288",3,"6541.37","19624.11","3532.34","23156.45","2025-07-23","14:58:00","In Progress","EMP0089","Traditional setup",5,"Outstanding","2025-07-22 16:06:40","2025-07-23 18:06:40"
"BS000039","IND004412","SVC0092",1,"4599.64","4599.64","827.94","5427.58","2025-06-27","14:07:00","Completed","EMP0599","Late evening service",3,"Good service","2025-06-25 05:06:40","2025-06-27 18:06:40"
"BS000040","IND000251","SVC0046",2,"1667.50","3335.00","600.30","3935.30","2025-09-05","13:44:00","Cancelled","EMP0030","Vegetarian preference",4,"Very good experience","2025-09-03 08:06:40","2025-09-05 18:06:40"
"BS000041","IND002484","SVC0214",3,"5403.55","16210.65","2917.92","19128.57","2025-08-24","12:26:00","Pending","EMP0050","Private session",5,"Good service","2025-08-24 02:06:40","2025-08-24 18:06:40"
"BS000042","IND002265","SVC0220",3,"5626.01","16878.03","3038.05","19916.08","2025-09-16","15:41:00","Cancelled","EMP0547","Traditional setup",5,"Highly recommended","2025-09-15 13:06:40","2025-09-16 18:06:40"
"BS000043","IND003487","SVC0247",3,"6331.85","18995.55","3419.20","22414.75","2025-07-12","21:32:00","Confirmed","EMP0713","None",5,"Good service","2025-07-10 23:06:40","2025-07-12 18:06:40"
"BS000044","IND000989","SVC0211",2,"7363.59","14727.18","2650.89","17378.07","2025-06-27","19:46:00","Completed","EMP0786","Call before arrival",4,"Good service","2025-06-25 22:06:40","2025-06-27 18:06:40"
"BS000045","IND003319","SVC0266",3,"5454.77","16364.31","2945.58","19309.89","2025-07-29","08:15:00","Cancelled","EMP0247","None",5,"Outstanding","2025-07-26 23:06:40","2025-07-29 18:06:40"
"BS000046","IND000661","SVC0207",4,"7659.04","30636.16","5514.51","36150.67","2025-08-18","18:55:00","Pending","EMP0400","Traditional setup",5,NULL,"2025-08-17 17:06:40","2025-08-18 18:06:40"
"BS000047","IND004540","SVC0123",3,"4937.11","14811.33","2666.04","17477.37","2025-06-23","17:04:00","Cancelled","EMP0694","No spicy food",4,NULL,"2025-06-21 11:06:40","2025-06-23 18:06:40"
"BS000048","IND004702","SVC0218",3,"7751.95","23255.85","4186.05","27441.90","2025-09-20","20:30:00","Confirmed","EMP0609","Private session",5,"Outstanding","2025-09-20 03:06:40","2025-09-20 18:06:40"
"BS000049","IND002253","SVC0135",1,"7445.09","7445.09","1340.12","8785.21","2025-08-15","20:38:00","In Progress","EMP0755","No spicy food",3,NULL,"2025-08-13 08:06:40","2025-08-15 18:06:40"
"BS000050","IND001430","SVC0228",3,"3771.25","11313.75","2036.47","13350.22","2025-09-25","15:49:00","Pending","EMP0734","Extra towels requested",NULL,NULL,"2025-09-25 00:06:40","2025-09-25 18:06:40"
"BS000051","IND002269","SVC0144",4,"3575.48","14301.92","2574.35","16876.27","2025-10-10","18:46:00","Confirmed","EMP0033","Quiet service please",4,"Average experience","2025-10-10 08:06:40","2025-10-10 18:06:40"
"BS000052","IND001314","SVC0027",4,"1688.94","6755.76","1216.04","7971.80","2025-10-03","06:41:00","In Progress","EMP0440","Group service",3,"Outstanding","2025-10-02 12:06:40","2025-10-03 18:06:40"
"BS000053","IND001516","SVC0227",3,"1733.19","5199.57","935.92","6135.49","2025-07-02","20:31:00","In Progress","EMP0424","Call before arrival",4,"Excellent service","2025-07-01 07:06:40","2025-07-02 18:06:40"
"BS000054","IND004411","SVC0068",4,"1628.03","6512.12","1172.18","7684.30","2025-09-26","06:29:00","In Progress","EMP0345","Early morning service",4,"Outstanding","2025-09-25 18:06:40","2025-09-26 18:06:40"
"BS000055","IND003569","SVC0058",2,"2474.45","4948.90","890.80","5839.70","2025-09-07","15:53:00","Cancelled","EMP0426","Vegetarian preference",3,"Average experience","2025-09-05 01:06:40","2025-09-07 18:06:40"
"BS000056","IND002684","SVC0253",3,"7509.75","22529.25","4055.26","26584.51","2025-10-17","21:43:00","In Progress","EMP0734","Extra towels requested",NULL,"Highly recommended","2025-10-16 21:06:40","2025-10-17 18:06:40"
"BS000057","IND004752","SVC0033",2,"4114.69","8229.38","1481.29","9710.67","2025-10-05","18:08:00","Pending","EMP0484","Early morning service",5,NULL,"2025-10-05 17:06:40","2025-10-05 18:06:40"
"BS000058","IND001474","SVC0256",4,"1810.37","7241.48","1303.47","8544.95","2025-08-30","23:36:00","Pending","EMP0693","Group service",5,"Excellent service","2025-08-28 16:06:40","2025-08-30 18:06:40"
"BS000059","IND000068","SVC0183",5,"1081.25","5406.25","973.12","6379.37","2025-06-28","08:21:00","Cancelled","EMP0546","Extra towels requested",5,"Highly recommended","2025-06-26 05:06:40","2025-06-28 18:06:40"
"BS000060","IND000463","SVC0126",3,"6756.47","20269.41","3648.49","23917.90","2025-10-13","22:26:00","In Progress","EMP0673","Group service",4,"Good service","2025-10-11 16:06:40","2025-10-13 18:06:40"
"BS000061","IND003748","SVC0255",3,"1569.51","4708.53","847.54","5556.07","2025-09-06","08:46:00","Completed","EMP0642","Extra towels requested",NULL,"Highly recommended","2025-09-03 20:06:40","2025-09-06 18:06:40"
"BS000062","IND001018","SVC0034",1,"5280.09","5280.09","950.42","6230.51","2025-10-14","18:27:00","Confirmed","EMP0058","Late evening service",NULL,"Good service","2025-10-12 02:06:40","2025-10-14 18:06:40"
"BS000063","IND001076","SVC0103",5,"6263.02","31315.10","5636.72","36951.82","2025-07-20","11:22:00","In Progress","EMP0326","English speaking staff",4,"Satisfied","2025-07-19 17:06:40","2025-07-20 18:06:40"
"BS000064","IND000902","SVC0268",4,"5630.67","22522.68","4054.08","26576.76","2025-10-16","22:24:00","Cancelled","EMP0342","No spicy food",NULL,"Average experience","2025-10-15 23:06:40","2025-10-16 18:06:40"
"BS000065","IND002798","SVC0113",3,"1746.76","5240.28","943.25","6183.53","2025-08-26","15:23:00","Confirmed","EMP0779","English speaking staff",NULL,"Highly recommended","2025-08-24 05:06:40","2025-08-26 18:06:40"
"BS000066","IND003457","SVC0244",4,"3156.25","12625.00","2272.50","14897.50","2025-07-10","12:46:00","Cancelled","EMP0242","Vegetarian preference",3,"Good service","2025-07-07 18:06:40","2025-07-10 18:06:40"
"BS000067","IND001212","SVC0123",3,"4694.40","14083.20","2534.98","16618.18","2025-07-17","15:26:00","Completed","EMP0138","Early morning service",NULL,"Highly recommended","2025-07-15 04:06:40","2025-07-17 18:06:40"
"BS000068","IND001378","SVC0007",2,"7404.58","14809.16","2665.65","17474.81","2025-07-05","17:51:00","In Progress","EMP0217","Extra towels requested",4,"Very good experience","2025-07-04 14:06:40","2025-07-05 18:06:40"
"BS000069","IND000227","SVC0021",4,"7554.60","30218.40","5439.31","35657.71","2025-08-14","12:07:00","Confirmed","EMP0032","English speaking staff",3,"Satisfied","2025-08-11 22:06:40","2025-08-14 18:06:40"
"BS000070","IND004341","SVC0100",5,"3772.60","18863.00","3395.34","22258.34","2025-08-20","13:57:00","Confirmed","EMP0165","Late evening service",4,"Very good experience","2025-08-18 09:06:40","2025-08-20 18:06:40"
"BS000071","IND001005","SVC0254",2,"2704.89","5409.78","973.76","6383.54","2025-08-06","06:15:00","Completed","EMP0079","Extra towels requested",3,"Average experience","2025-08-06 08:06:40","2025-08-06 18:06:40"
"BS000072","IND002452","SVC0256",2,"763.89","1527.78","275.00","1802.78","2025-08-10","08:47:00","In Progress","EMP0100","Hindi speaking staff",4,"Average experience","2025-08-10 00:06:40","2025-08-10 18:06:40"
"BS000073","IND002314","SVC0111",2,"2905.55","5811.10","1046.00","6857.10","2025-07-03","20:59:00","Cancelled","EMP0753","English speaking staff",NULL,"Good service","2025-07-02 09:06:40","2025-07-03 18:06:40"
"BS000074","IND004650","SVC0165",1,"7529.79","7529.79","1355.36","8885.15","2025-09-24","13:48:00","Cancelled","EMP0308","None",3,"Satisfied","2025-09-23 20:06:40","2025-09-24 18:06:40"
"BS000075","IND003238","SVC0210",2,"7940.86","15881.72","2858.71","18740.43","2025-09-06","18:18:00","Completed","EMP0644","Private session",4,"Good service","2025-09-04 22:06:40","2025-09-06 18:06:40"
"BS000076","IND002427","SVC0194",4,"6948.18","27792.72","5002.69","32795.41","2025-09-01","21:54:00","In Progress","EMP0609","None",5,NULL,"2025-08-31 01:06:40","2025-09-01 18:06:40"
"BS000077","IND002263","SVC0059",4,"5927.63","23710.52","4267.89","27978.41","2025-07-13","10:19:00","Pending","EMP0507","No spicy food",4,"Very good experience","2025-07-12 14:06:40","2025-07-13 18:06:40"
"BS000078","IND002140","SVC0121",4,"7820.97","31283.88","5631.10","36914.98","2025-09-07","10:33:00","Confirmed","EMP0749","Traditional setup",5,"Very good experience","2025-09-07 02:06:40","2025-09-07 18:06:40"
"BS000079","IND003015","SVC0202",1,"5391.08","5391.08","970.39","6361.47","2025-10-17","11:34:00","Cancelled","EMP0800","Traditional setup",5,"Very good experience","2025-10-17 00:06:40","2025-10-17 18:06:40"
"BS000080","IND002395","SVC0251",4,"3973.57","15894.28","2860.97","18755.25","2025-10-13","15:52:00","Completed","EMP0030","Extra towels requested",5,"Excellent service","2025-10-13 08:06:40","2025-10-13 18:06:40"
"BS000081","IND002724","SVC0261",2,"716.42","1432.84","257.91","1690.75","2025-10-06","17:56:00","In Progress","EMP0729","English speaking staff",3,"Average experience","2025-10-04 06:06:40","2025-10-06 18:06:40"
"BS000082","IND004465","SVC0273",2,"621.56","1243.12","223.76","1466.88","2025-08-01","22:01:00","Cancelled","EMP0401","Quiet service please",NULL,"Satisfied","2025-08-01 04:06:40","2025-08-01 18:06:40"
"BS000083","IND000826","SVC0047",4,"6775.43","27101.72","4878.31","31980.03","2025-07-09","12:48:00","Confirmed","EMP0764","Late evening service",3,"Satisfied","2025-07-07 12:06:40","2025-07-09 18:06:40"
"BS000084","IND002696","SVC0029",1,"3003.39","3003.39","540.61","3544.00","2025-08-07","07:17:00","Pending","EMP0689","Late evening service",NULL,"Satisfied","2025-08-07 14:06:40","2025-08-07 18:06:40"
"BS000085","IND000745","SVC0021",5,"3158.65","15793.25","2842.78","18636.03","2025-09-05","19:01:00","In Progress","EMP0462","English speaking staff",NULL,"Satisfied","2025-09-04 20:06:40","2025-09-05 18:06:40"
"BS000086","IND002399","SVC0272",2,"1694.31","3388.62","609.95","3998.57","2025-07-16","16:22:00","Cancelled","EMP0584","Vegetarian preference",NULL,NULL,"2025-07-14 09:06:40","2025-07-16 18:06:40"
"BS000087","IND001018","SVC0247",5,"5219.76","26098.80","4697.78","30796.58","2025-09-10","08:33:00","Completed","EMP0580","Early morning service",NULL,"Highly recommended","2025-09-08 01:06:40","2025-09-10 18:06:40"
"BS000088","IND001052","SVC0258",3,"274.42","823.26","148.19","971.45","2025-08-08","11:05:00","In Progress","EMP0723","Traditional setup",NULL,"Satisfied","2025-08-05 20:06:40","2025-08-08 18:06:40"
"BS000089","IND000437","SVC0240",2,"578.47","1156.94","208.25","1365.19","2025-08-20","07:31:00","Confirmed","EMP0114","No spicy food",5,"Good service","2025-08-19 01:06:40","2025-08-20 18:06:40"
"BS000090","IND003606","SVC0257",1,"7765.38","7765.38","1397.77","9163.15","2025-09-01","18:47:00","Confirmed","EMP0098","Quiet service please",3,NULL,"2025-09-01 15:06:40","2025-09-01 18:06:40"
"BS000091","IND000366","SVC0022",3,"4827.71","14483.13","2606.96","17090.09","2025-08-29","16:52:00","Pending","EMP0149","Quiet service please",4,"Excellent service","2025-08-27 21:06:40","2025-08-29 18:06:40"
"BS000092","IND004755","SVC0289",4,"4818.18","19272.72","3469.09","22741.81","2025-07-30","22:27:00","Cancelled","EMP0790","Early morning service",5,"Good service","2025-07-29 04:06:40","2025-07-30 18:06:40"
"BS000093","IND000198","SVC0167",2,"5693.57","11387.14","2049.69","13436.83","2025-08-27","12:47:00","Completed","EMP0062","Call before arrival",5,"Outstanding","2025-08-27 14:06:40","2025-08-27 18:06:40"
"BS000094","IND000742","SVC0125",4,"6298.85","25195.40","4535.17","29730.57","2025-07-05","16:41:00","In Progress","EMP0527","Vegetarian preference",4,"Excellent service","2025-07-04 14:06:40","2025-07-05 18:06:40"
"BS000095","IND003718","SVC0104",5,"6688.83","33444.15","6019.95","39464.10","2025-07-21","11:49:00","Cancelled","EMP0125","Private session",4,"Good service","2025-07-19 14:06:40","2025-07-21 18:06:40"
"BS000096","IND002567","SVC0110",2,"6696.82","13393.64","2410.86","15804.50","2025-07-31","21:19:00","Pending","EMP0609","Private session",5,"Good service","2025-07-30 07:06:40","2025-07-31 18:06:40"
"BS000097","IND002466","SVC0235",5,"4864.55","24322.75","4378.10","28700.85","2025-07-11","09:51:00","In Progress","EMP0552","Call before arrival",4,"Satisfied","2025-07-09 00:06:40","2025-07-11 18:06:40"
"BS000098","IND003682","SVC0083",3,"5979.73","17939.19","3229.05","21168.24","2025-10-01","20:09:00","Cancelled","EMP0523","Private session",4,"Average experience","2025-10-01 00:06:40","2025-10-01 18:06:40"
"BS000099","IND002825","SVC0205",5,"4632.48","23162.40","4169.23","27331.63","2025-10-02","07:46:00","Completed","EMP0467","Early morning service",5,"Good service","2025-10-02 12:06:40","2025-10-02 18:06:40"
"BS000100","IND001254","SVC0021",3,"919.42","2758.26","496.49","3254.75","2025-08-02","11:09:00","In Progress","EMP0155","Early morning service",4,"Outstanding","2025-08-01 18:06:40","2025-08-02 18:06:40"
"BS000101","IND001491","SVC0138",2,"6106.01","12212.02","2198.16","14410.18","2025-08-21","20:49:00","Pending","EMP0053","Call before arrival",NULL,"Average experience","2025-08-19 08:06:40","2025-08-21 18:06:40"
"BS000102","IND002244","SVC0221",2,"1200.65","2401.30","432.23","2833.53","2025-10-01","23:54:00","Completed","EMP0449","Quiet service please",4,"Highly recommended","2025-10-01 01:06:40","2025-10-01 18:06:40"
"BS000103","IND003032","SVC0276",1,"226.87","226.87","40.84","267.71","2025-09-27","16:39:00","Cancelled","EMP0659","None",4,"Good service","2025-09-25 11:06:40","2025-09-27 18:06:40"
"BS000104","IND002147","SVC0098",2,"5788.91","11577.82","2084.01","13661.83","2025-07-26","17:37:00","Cancelled","EMP0685","Quiet service please",5,NULL,"2025-07-25 21:06:40","2025-07-26 18:06:40"
"BS000105","IND000691","SVC0058",1,"654.00","654.00","117.72","771.72","2025-09-08","14:45:00","In Progress","EMP0447","Group service",NULL,"Outstanding","2025-09-08 14:06:40","2025-09-08 18:06:40"
"BS000106","IND004809","SVC0075",2,"2501.93","5003.86","900.69","5904.55","2025-09-25","06:39:00","Confirmed","EMP0151","Call before arrival",4,NULL,"2025-09-23 19:06:40","2025-09-25 18:06:40"
"BS000107","IND000099","SVC0052",2,"5069.50","10139.00","1825.02","11964.02","2025-07-19","09:14:00","Cancelled","EMP0530","Quiet service please",3,NULL,"2025-07-19 15:06:40","2025-07-19 18:06:40"
"BS000108","IND000844","SVC0253",2,"4265.39","8530.78","1535.54","10066.32","2025-07-31","06:25:00","In Progress","EMP0339","Vegetarian preference",5,"Outstanding","2025-07-31 12:06:40","2025-07-31 18:06:40"
"BS000109","IND004657","SVC0090",5,"6545.22","32726.10","5890.70","38616.80","2025-07-20","19:09:00","In Progress","EMP0536","No spicy food",3,"Satisfied","2025-07-19 05:06:40","2025-07-20 18:06:40"
"BS000110","IND001237","SVC0256",3,"4910.17","14730.51","2651.49","17382.00","2025-07-15","06:39:00","Cancelled","EMP0591","Traditional setup",4,NULL,"2025-07-15 05:06:40","2025-07-15 18:06:40"
"BS000111","IND000617","SVC0208",2,"6677.19","13354.38","2403.79","15758.17","2025-10-05","08:28:00","Pending","EMP0516","Vegetarian preference",5,"Average experience","2025-10-03 18:06:40","2025-10-05 18:06:40"
"BS000112","IND004633","SVC0065",3,"6099.60","18298.80","3293.78","21592.58","2025-07-04","18:50:00","In Progress","EMP0185","No spicy food",NULL,"Average experience","2025-07-03 20:06:40","2025-07-04 18:06:40"
"BS000113","IND001545","SVC0219",5,"6197.90","30989.50","5578.11","36567.61","2025-09-09","18:25:00","Pending","EMP0182","Private session",NULL,"Average experience","2025-09-07 16:06:40","2025-09-09 18:06:40"
"BS000114","IND002880","SVC0221",2,"3132.54","6265.08","1127.71","7392.79","2025-08-15","23:20:00","Pending","EMP0615","English speaking staff",4,"Good service","2025-08-14 19:06:40","2025-08-15 18:06:40"
"BS000115","IND000181","SVC0162",1,"3136.63","3136.63","564.59","3701.22","2025-09-22","17:19:00","Pending","EMP0517","Vegetarian preference",NULL,"Outstanding","2025-09-21 01:06:40","2025-09-22 18:06:40"
"BS000116","IND002808","SVC0241",1,"1811.23","1811.23","326.02","2137.25","2025-06-26","13:11:00","In Progress","EMP0667","Traditional setup",5,"Good service","2025-06-23 23:06:40","2025-06-26 18:06:40"
"BS000117","IND000165","SVC0061",5,"1939.16","9695.80","1745.24","11441.04","2025-09-07","10:12:00","Cancelled","EMP0012","Call before arrival",3,"Average experience","2025-09-05 20:06:40","2025-09-07 18:06:40"
"BS000118","IND004692","SVC0054",5,"1114.91","5574.55","1003.42","6577.97","2025-08-10","10:05:00","Pending","EMP0798","Private session",3,"Satisfied","2025-08-09 07:06:40","2025-08-10 18:06:40"
"BS000119","IND000647","SVC0168",2,"5443.87","10887.74","1959.79","12847.53","2025-08-02","18:40:00","Completed","EMP0444","Private session",4,"Satisfied","2025-08-01 04:06:40","2025-08-02 18:06:40"
"BS000120","IND001546","SVC0224",3,"797.16","2391.48","430.47","2821.95","2025-09-22","06:38:00","Pending","EMP0613","Extra towels requested",3,"Good service","2025-09-22 14:06:40","2025-09-22 18:06:40"
"BS000121","IND004572","SVC0132",4,"5129.19","20516.76","3693.02","24209.78","2025-08-06","16:59:00","Confirmed","EMP0034","Late evening service",3,"Good service","2025-08-04 05:06:40","2025-08-06 18:06:40"
"BS000122","IND001908","SVC0262",1,"4350.53","4350.53","783.10","5133.63","2025-10-07","06:41:00","Completed","EMP0076","Call before arrival",5,"Average experience","2025-10-05 15:06:40","2025-10-07 18:06:40"
"BS000123","IND004722","SVC0236",2,"4050.92","8101.84","1458.33","9560.17","2025-07-02","14:23:00","Pending","EMP0226","None",NULL,"Excellent service","2025-06-30 09:06:40","2025-07-02 18:06:40"
"BS000124","IND001964","SVC0204",3,"6036.64","18109.92","3259.79","21369.71","2025-08-25","19:27:00","In Progress","EMP0364","Early morning service",4,"Highly recommended","2025-08-24 18:06:40","2025-08-25 18:06:40"
"BS000125","IND000491","SVC0188",3,"7319.78","21959.34","3952.68","25912.02","2025-09-05","06:13:00","Confirmed","EMP0027","Call before arrival",NULL,"Outstanding","2025-09-05 04:06:40","2025-09-05 18:06:40"
"BS000126","IND002458","SVC0134",3,"1775.94","5327.82","959.01","6286.83","2025-08-23","15:57:00","Completed","EMP0591","Extra towels requested",NULL,"Average experience","2025-08-22 06:06:40","2025-08-23 18:06:40"
"BS000127","IND002618","SVC0156",2,"2883.35","5766.70","1038.01","6804.71","2025-09-09","15:30:00","Pending","EMP0113","Private session",4,"Highly recommended","2025-09-07 01:06:40","2025-09-09 18:06:40"
"BS000128","IND000535","SVC0131",4,"7628.60","30514.40","5492.59","36006.99","2025-10-06","13:58:00","Pending","EMP0489","Late evening service",NULL,"Very good experience","2025-10-05 05:06:40","2025-10-06 18:06:40"
"BS000129","IND000908","SVC0193",4,"4500.65","18002.60","3240.47","21243.07","2025-07-23","19:12:00","Pending","EMP0341","Vegetarian preference",NULL,"Satisfied","2025-07-23 08:06:40","2025-07-23 18:06:40"
"BS000130","IND003042","SVC0279",2,"4261.63","8523.26","1534.19","10057.45","2025-10-05","07:30:00","Cancelled","EMP0426","Traditional setup",NULL,"Excellent service","2025-10-03 03:06:40","2025-10-05 18:06:40"
