"service_id","hotel_id","service_name","category","description","price_inr","gst_rate_percent","total_price_inr","availability_hours","staff_required","duration_minutes","is_active","booking_required","advance_booking_hours","seasonal_service","created_at","updated_at"
"SVC0020",2,"Ayurvedic Spa","Wellness","Traditional Ayurvedic treatments","2241.06","18.00","2644.45","6AM-10PM",3,226,False,False,26,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0021",15,"Temple Tour","Tourism","Guided cultural tours","1605.61","18.00","1894.62","24 hours",1,176,True,True,23,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0022",17,"Ayurvedic Spa","Wellness","Traditional Ayurvedic treatments","2088.62","18.00","2464.57","9AM-9PM",1,138,True,False,19,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0023",21,"Room Service","General","In-room dining service","203.78","18.00","240.46","24 hours",1,204,True,True,29,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0024",24,"Airport Transfer","Transportation","Pick-up/drop service","720.03","18.00","849.64","24 hours",3,99,True,True,38,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0025",44,"Laundry Service","General","Clothes washing service","160.50","18.00","189.39","6AM-10PM",1,66,True,True,25,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0026",10,"Laundry Service","General","Clothes washing service","145.51","18.00","171.70","9AM-9PM",2,185,True,False,26,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0027",44,"Airport Transfer","Transportation","Pick-up/drop service","671.10","18.00","791.90","24 hours",4,70,False,False,48,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0028",12,"Yoga & Meditation","Wellness","Morning yoga sessions","569.33","18.00","671.81","6AM-10PM",3,41,True,True,17,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0029",30,"Laundry Service","General","Clothes washing service","140.79","18.00","166.13","9AM-9PM",4,70,True,True,48,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0030",9,"Temple Tour","Tourism","Guided cultural tours","1605.31","18.00","1894.27","9AM-9PM",3,158,True,True,47,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0031",12,"Temple Tour","Tourism","Guided cultural tours","1886.81","18.00","2226.44","6AM-10PM",4,199,False,False,41,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0032",24,"Temple Tour","Tourism","Guided cultural tours","1800.98","18.00","2125.16","24 hours",2,203,True,False,20,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0033",25,"Ayurvedic Spa","Wellness","Traditional Ayurvedic treatments","2038.35","18.00","2405.25","9AM-9PM",1,126,False,True,21,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0034",41,"Cultural Show","Entertainment","Traditional dance performances","1328.63","18.00","1567.78","6AM-10PM",2,64,False,True,32,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0035",10,"Indian Cuisine Restaurant","Dining","Authentic Indian cuisine","916.63","18.00","1081.62","6AM-10PM",4,118,True,False,33,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0036",32,"Yoga & Meditation","Wellness","Morning yoga sessions","476.36","18.00","562.10","9AM-9PM",3,113,True,True,47,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0037",24,"Indian Cuisine Restaurant","Dining","Authentic Indian cuisine","999.62","18.00","1179.55","6AM-10PM",4,153,False,False,24,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0038",10,"Room Service","General","In-room dining service","225.52","18.00","266.11","9AM-9PM",3,47,True,True,43,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0039",9,"Indian Cuisine Restaurant","Dining","Authentic Indian cuisine","861.29","18.00","1016.32","24 hours",4,137,True,False,45,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0040",28,"Indian Cuisine Restaurant","Dining","Authentic Indian cuisine","816.01","18.00","962.89","9AM-9PM",2,31,False,True,42,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0041",4,"Airport Transfer","Transportation","Pick-up/drop service","872.17","18.00","1029.16","6AM-10PM",4,94,False,True,35,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0042",28,"Temple Tour","Tourism","Guided cultural tours","1229.59","18.00","1450.92","6AM-10PM",4,78,False,False,40,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0043",1,"Laundry Service","General","Clothes washing service","187.75","18.00","221.55","6AM-10PM",2,174,True,True,33,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0044",39,"Room Service","General","In-room dining service","176.87","18.00","208.71","9AM-9PM",4,176,True,True,33,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0045",38,"Airport Transfer","Transportation","Pick-up/drop service","846.66","18.00","999.06","6AM-10PM",4,149,False,False,2,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0046",49,"Cultural Show","Entertainment","Traditional dance performances","1090.88","18.00","1287.24","24 hours",4,69,True,True,9,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0047",19,"Ayurvedic Spa","Wellness","Traditional Ayurvedic treatments","2143.20","18.00","2528.98","24 hours",3,105,False,True,10,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0048",7,"Room Service","General","In-room dining service","222.19","18.00","262.18","6AM-10PM",1,200,False,False,32,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0049",11,"Indian Cuisine Restaurant","Dining","Authentic Indian cuisine","903.38","18.00","1065.99","24 hours",4,156,True,True,20,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0050",44,"Cultural Show","Entertainment","Traditional dance performances","1332.12","18.00","1571.90","24 hours",1,136,True,False,38,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0051",4,"Laundry Service","General","Clothes washing service","128.88","18.00","152.08","9AM-9PM",1,129,True,True,3,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0052",24,"Laundry Service","General","Clothes washing service","186.45","18.00","220.01","6AM-10PM",1,55,True,True,4,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0053",13,"Laundry Service","General","Clothes washing service","154.98","18.00","182.88","6AM-10PM",3,125,False,True,26,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0054",30,"Yoga & Meditation","Wellness","Morning yoga sessions","537.07","18.00","633.74","9AM-9PM",2,161,False,True,4,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0055",2,"Ayurvedic Spa","Wellness","Traditional Ayurvedic treatments","3022.38","18.00","3566.41","9AM-9PM",3,74,True,False,36,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0056",21,"Temple Tour","Tourism","Guided cultural tours","1625.30","18.00","1917.85","24 hours",2,180,True,False,38,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0057",2,"Yoga & Meditation","Wellness","Morning yoga sessions","544.25","18.00","642.22","9AM-9PM",2,69,True,True,33,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0058",18,"Yoga & Meditation","Wellness","Morning yoga sessions","575.10","18.00","678.62","9AM-9PM",1,176,True,False,10,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0059",22,"Airport Transfer","Transportation","Pick-up/drop service","812.61","18.00","958.88","6AM-10PM",4,116,False,False,38,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0060",44,"Room Service","General","In-room dining service","211.89","18.00","250.03","24 hours",1,193,True,True,4,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0061",1,"Temple Tour","Tourism","Guided cultural tours","1212.28","18.00","1430.49","9AM-9PM",3,218,True,False,12,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0062",39,"Airport Transfer","Transportation","Pick-up/drop service","667.17","18.00","787.26","9AM-9PM",4,119,True,False,16,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0063",32,"Indian Cuisine Restaurant","Dining","Authentic Indian cuisine","929.37","18.00","1096.66","9AM-9PM",3,208,True,False,41,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0064",13,"Yoga & Meditation","Wellness","Morning yoga sessions","600.98","18.00","709.16","6AM-10PM",2,201,True,False,6,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0065",17,"Cultural Show","Entertainment","Traditional dance performances","996.94","18.00","1176.39","9AM-9PM",4,88,True,True,22,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0066",30,"Airport Transfer","Transportation","Pick-up/drop service","875.02","18.00","1032.52","9AM-9PM",2,199,True,False,28,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0067",12,"Cultural Show","Entertainment","Traditional dance performances","1387.20","18.00","1636.90","6AM-10PM",3,132,True,True,7,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0068",18,"Indian Cuisine Restaurant","Dining","Authentic Indian cuisine","646.47","18.00","762.83","6AM-10PM",2,172,False,True,46,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0069",43,"Room Service","General","In-room dining service","237.06","18.00","279.73","24 hours",3,134,True,True,46,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0070",46,"Yoga & Meditation","Wellness","Morning yoga sessions","607.70","18.00","717.09","6AM-10PM",4,206,True,False,45,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0071",38,"Indian Cuisine Restaurant","Dining","Authentic Indian cuisine","1023.25","18.00","1207.44","9AM-9PM",4,36,False,False,25,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0072",34,"Yoga & Meditation","Wellness","Morning yoga sessions","543.15","18.00","640.92","6AM-10PM",2,66,False,True,43,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0073",27,"Temple Tour","Tourism","Guided cultural tours","1865.35","18.00","2201.11","6AM-10PM",4,56,True,True,35,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0074",48,"Temple Tour","Tourism","Guided cultural tours","1268.35","18.00","1496.65","24 hours",1,74,True,True,27,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0075",3,"Yoga & Meditation","Wellness","Morning yoga sessions","521.17","18.00","614.98","24 hours",2,77,True,False,21,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0076",5,"Airport Transfer","Transportation","Pick-up/drop service","971.31","18.00","1146.15","6AM-10PM",1,198,True,True,44,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0077",19,"Indian Cuisine Restaurant","Dining","Authentic Indian cuisine","830.56","18.00","980.06","6AM-10PM",3,46,False,True,45,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0078",23,"Yoga & Meditation","Wellness","Morning yoga sessions","552.22","18.00","651.62","24 hours",1,84,False,False,21,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0079",32,"Airport Transfer","Transportation","Pick-up/drop service","756.78","18.00","893.00","6AM-10PM",3,151,True,True,40,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0080",21,"Ayurvedic Spa","Wellness","Traditional Ayurvedic treatments","2059.88","18.00","2430.66","6AM-10PM",4,162,True,False,45,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0081",26,"Laundry Service","General","Clothes washing service","185.52","18.00","218.91","6AM-10PM",1,215,False,False,36,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0082",30,"Temple Tour","Tourism","Guided cultural tours","1478.14","18.00","1744.21","24 hours",4,32,False,False,15,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0083",49,"Indian Cuisine Restaurant","Dining","Authentic Indian cuisine","1009.48","18.00","1191.19","9AM-9PM",4,76,False,False,44,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0084",14,"Temple Tour","Tourism","Guided cultural tours","1424.84","18.00","1681.31","9AM-9PM",1,130,False,True,30,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0085",33,"Laundry Service","General","Clothes washing service","167.46","18.00","197.60","9AM-9PM",4,38,False,True,40,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0086",16,"Cultural Show","Entertainment","Traditional dance performances","1152.83","18.00","1360.34","24 hours",3,81,True,True,37,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0087",46,"Laundry Service","General","Clothes washing service","161.04","18.00","190.03","24 hours",1,143,True,False,21,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0088",30,"Temple Tour","Tourism","Guided cultural tours","1274.28","18.00","1503.65","24 hours",1,223,False,True,17,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0089",47,"Laundry Service","General","Clothes washing service","150.71","18.00","177.84","6AM-10PM",1,87,False,False,4,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0090",17,"Temple Tour","Tourism","Guided cultural tours","1434.93","18.00","1693.22","6AM-10PM",2,185,True,True,38,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0091",49,"Airport Transfer","Transportation","Pick-up/drop service","689.42","18.00","813.52","24 hours",3,39,True,False,47,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0092",46,"Ayurvedic Spa","Wellness","Traditional Ayurvedic treatments","2598.49","18.00","3066.22","6AM-10PM",2,112,True,False,6,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0093",42,"Airport Transfer","Transportation","Pick-up/drop service","1017.22","18.00","1200.32","24 hours",2,87,True,False,11,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0094",25,"Laundry Service","General","Clothes washing service","149.60","18.00","176.53","24 hours",4,64,False,True,36,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0095",13,"Yoga & Meditation","Wellness","Morning yoga sessions","500.25","18.00","590.30","6AM-10PM",4,232,True,True,28,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0096",3,"Cultural Show","Entertainment","Traditional dance performances","1252.34","18.00","1477.76","6AM-10PM",4,172,True,False,17,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0097",29,"Cultural Show","Entertainment","Traditional dance performances","1153.50","18.00","1361.13","9AM-9PM",4,174,False,True,17,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0098",9,"Indian Cuisine Restaurant","Dining","Authentic Indian cuisine","891.30","18.00","1051.73","9AM-9PM",4,57,True,True,28,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0099",17,"Laundry Service","General","Clothes washing service","194.84","18.00","229.91","24 hours",2,161,True,False,44,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0100",3,"Indian Cuisine Restaurant","Dining","Authentic Indian cuisine","922.45","18.00","1088.49","24 hours",3,104,True,False,22,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0101",16,"Airport Transfer","Transportation","Pick-up/drop service","795.54","18.00","938.74","9AM-9PM",3,172,True,False,17,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0102",38,"Cultural Show","Entertainment","Traditional dance performances","992.19","18.00","1170.78","9AM-9PM",2,82,False,True,7,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0103",31,"Yoga & Meditation","Wellness","Morning yoga sessions","450.37","18.00","531.44","9AM-9PM",3,168,True,False,31,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0104",15,"Indian Cuisine Restaurant","Dining","Authentic Indian cuisine","816.47","18.00","963.43","6AM-10PM",3,146,True,False,10,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0105",9,"Ayurvedic Spa","Wellness","Traditional Ayurvedic treatments","2339.70","18.00","2760.85","24 hours",1,186,True,False,18,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0106",11,"Cultural Show","Entertainment","Traditional dance performances","1206.01","18.00","1423.09","24 hours",1,127,True,False,23,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0107",44,"Laundry Service","General","Clothes washing service","170.71","18.00","201.44","6AM-10PM",2,147,True,True,41,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0108",12,"Room Service","General","In-room dining service","200.82","18.00","236.97","6AM-10PM",4,92,True,False,17,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0109",29,"Room Service","General","In-room dining service","235.99","18.00","278.47","9AM-9PM",4,235,False,True,15,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0110",16,"Ayurvedic Spa","Wellness","Traditional Ayurvedic treatments","2387.34","18.00","2817.06","24 hours",1,45,True,True,44,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0111",17,"Room Service","General","In-room dining service","169.98","18.00","200.58","9AM-9PM",3,104,False,False,24,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0112",27,"Room Service","General","In-room dining service","203.36","18.00","239.96","24 hours",4,198,False,False,36,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0113",32,"Cultural Show","Entertainment","Traditional dance performances","1021.07","18.00","1204.86","6AM-10PM",3,52,False,True,46,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0114",20,"Indian Cuisine Restaurant","Dining","Authentic Indian cuisine","846.63","18.00","999.02","24 hours",1,54,False,False,35,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0115",4,"Indian Cuisine Restaurant","Dining","Authentic Indian cuisine","816.58","18.00","963.56","24 hours",2,186,True,True,15,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0116",45,"Temple Tour","Tourism","Guided cultural tours","1581.01","18.00","1865.59","6AM-10PM",1,64,False,False,31,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0117",34,"Cultural Show","Entertainment","Traditional dance performances","1550.78","18.00","1829.92","24 hours",1,217,True,False,18,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0118",35,"Yoga & Meditation","Wellness","Morning yoga sessions","589.05","18.00","695.08","9AM-9PM",2,129,False,True,39,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0119",36,"Ayurvedic Spa","Wellness","Traditional Ayurvedic treatments","3028.09","18.00","3573.15","24 hours",2,230,True,True,40,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0120",7,"Temple Tour","Tourism","Guided cultural tours","1884.38","18.00","2223.57","6AM-10PM",4,160,False,False,13,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0121",3,"Laundry Service","General","Clothes washing service","130.29","18.00","153.74","24 hours",3,40,False,False,37,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0122",39,"Temple Tour","Tourism","Guided cultural tours","1761.42","18.00","2078.48","9AM-9PM",4,182,False,False,11,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0123",34,"Cultural Show","Entertainment","Traditional dance performances","1169.52","18.00","1380.03","24 hours",4,62,True,True,43,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0124",35,"Indian Cuisine Restaurant","Dining","Authentic Indian cuisine","1011.98","18.00","1194.14","6AM-10PM",4,52,False,True,30,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0125",19,"Temple Tour","Tourism","Guided cultural tours","1594.71","18.00","1881.76","9AM-9PM",4,114,True,False,11,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0126",28,"Yoga & Meditation","Wellness","Morning yoga sessions","405.84","18.00","478.89","6AM-10PM",3,139,True,True,32,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0127",47,"Cultural Show","Entertainment","Traditional dance performances","1250.74","18.00","1475.87","6AM-10PM",2,187,True,False,19,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0128",35,"Cultural Show","Entertainment","Traditional dance performances","977.63","18.00","1153.60","24 hours",1,85,False,False,7,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0129",5,"Temple Tour","Tourism","Guided cultural tours","1208.24","18.00","1425.72","6AM-10PM",1,228,True,True,2,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0130",10,"Cultural Show","Entertainment","Traditional dance performances","1447.42","18.00","1707.96","24 hours",2,221,False,False,17,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0131",25,"Cultural Show","Entertainment","Traditional dance performances","1556.04","18.00","1836.13","6AM-10PM",1,211,False,False,31,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0132",5,"Temple Tour","Tourism","Guided cultural tours","1741.85","18.00","2055.38","24 hours",3,114,True,True,18,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0133",4,"Cultural Show","Entertainment","Traditional dance performances","1099.68","18.00","1297.62","6AM-10PM",2,107,False,True,25,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0134",3,"Ayurvedic Spa","Wellness","Traditional Ayurvedic treatments","2050.97","18.00","2420.14","6AM-10PM",4,34,True,False,35,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0135",37,"Indian Cuisine Restaurant","Dining","Authentic Indian cuisine","662.81","18.00","782.12","24 hours",1,186,True,True,19,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0136",42,"Indian Cuisine Restaurant","Dining","Authentic Indian cuisine","941.88","18.00","1111.42","9AM-9PM",3,225,False,True,44,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0137",13,"Indian Cuisine Restaurant","Dining","Authentic Indian cuisine","961.86","18.00","1134.99","24 hours",1,92,True,False,26,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0138",1,"Ayurvedic Spa","Wellness","Traditional Ayurvedic treatments","2989.13","18.00","3527.17","24 hours",4,84,True,True,36,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0139",30,"Temple Tour","Tourism","Guided cultural tours","1924.88","18.00","2271.36","6AM-10PM",2,38,False,False,44,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0140",21,"Ayurvedic Spa","Wellness","Traditional Ayurvedic treatments","2159.89","18.00","2548.67","9AM-9PM",4,140,True,False,47,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0141",31,"Temple Tour","Tourism","Guided cultural tours","1473.85","18.00","1739.14","9AM-9PM",4,46,True,False,15,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0142",49,"Yoga & Meditation","Wellness","Morning yoga sessions","413.66","18.00","488.12","9AM-9PM",1,116,True,False,38,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0143",13,"Airport Transfer","Transportation","Pick-up/drop service","851.52","18.00","1004.79","24 hours",2,60,True,False,14,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0144",26,"Temple Tour","Tourism","Guided cultural tours","1713.82","18.00","2022.31","24 hours",3,78,True,True,29,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0145",23,"Room Service","General","In-room dining service","180.72","18.00","213.25","6AM-10PM",2,202,False,False,30,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0146",5,"Temple Tour","Tourism","Guided cultural tours","1542.22","18.00","1819.82","24 hours",4,141,False,False,43,False,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0147",27,"Laundry Service","General","Clothes washing service","120.40","18.00","142.07","9AM-9PM",3,55,True,False,13,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
"SVC0148",20,"Cultural Show","Entertainment","Traditional dance performances","1530.79","18.00","1806.33","9AM-9PM",3,30,False,True,12,True,"2025-08-19 00:00:00","2025-08-19 00:00:00"
