"booking_id","customer_id","hotel_id","room_id","check_in_date","check_out_date","nights","adults","children","total_guests","booking_status","payment_status","base_amount_inr","gst_amount_inr","total_amount_inr","paid_amount_inr","booking_date","special_requests","booking_source","cancellation_policy","guest_nationality","created_at"
"IND000020",4107,47,2170,"2026-02-18","2026-03-08",18,1,1,2,"Pending","Partial","635526.00","76263.12","711789.12","393083.43","2026-01-18","Anniversary celebration","Booking.com","24 hours before check-in","Indian","2026-01-01 14:55:13"
"IND000021",420,34,1639,"2026-02-12","2026-03-01",17,4,1,5,"Checked Out","Partial","539648.00","64757.76","604405.76","520650.71","2025-12-29","Wedding arrangements","Corporate","24 hours before check-in","Foreign","2025-12-26 14:55:13"
"IND000022",7093,19,2873,"2025-10-05","2025-10-07",2,5,3,8,"Cancelled","Refunded","23194.00","2783.28","25977.28","16422.84","2025-07-07","Honeymoon package","Website","24 hours before check-in","Indian","2025-09-21 14:55:13"
"IND000023",6369,27,1150,"2025-07-10","2025-07-28",18,4,2,6,"Checked Out","Partial","598482.00","71817.84","670299.84","587026.65","2025-04-25","Honeymoon package","Phone","24 hours before check-in","Indian","2025-05-02 14:55:13"
"IND000024",1567,21,95,"2026-03-08","2026-03-16",8,2,4,6,"Confirmed","Partial","111736.00","13408.32","125144.32","16145.58","2026-01-20","Early check-out","Website","24 hours before check-in","Foreign","2026-02-10 14:55:13"
"IND000025",4878,24,2847,"2026-02-15","2026-03-05",18,4,3,7,"Confirmed","Partial","262584.00","31510.08","294094.08","136516.47","2025-12-08","None","Booking.com","24 hours before check-in","Indian","2026-01-18 14:55:13"
"IND000026",7749,21,1569,"2025-06-08","2025-06-11",3,6,4,10,"Pending","Pending","30723.00","3686.76","34409.76","14276.78","2025-04-09","Honeymoon package","Agoda","24 hours before check-in","Foreign","2025-04-02 14:55:13"
"IND000027",3042,1,504,"2026-02-25","2026-03-15",18,5,3,8,"Cancelled","Paid","616644.00","73997.28","690641.28","187230.78","2026-01-23","Cultural tour arrangement","Booking.com","24 hours before check-in","Foreign","2026-01-09 14:55:13"
"IND000028",4653,20,660,"2025-05-02","2025-05-08",6,4,3,7,"Checked In","Partial","82758.00","9930.96","92688.96","63709.92","2025-03-03","Quiet room","Corporate","24 hours before check-in","Indian","2025-03-29 14:55:13"
"IND000029",3708,27,1646,"2026-03-20","2026-03-22",2,2,2,4,"Pending","Paid","64272.00","7712.64","71984.64","35050.11","2025-12-25","Business meeting setup","Website","24 hours before check-in","Indian","2026-03-07 14:55:13"
"IND000030",6192,48,295,"2025-11-02","2025-11-08",6,4,0,4,"Confirmed","Refunded","183924.00","22070.88","205994.88","190286.38","2025-08-13","Vegetarian meals only","Phone","24 hours before check-in","Foreign","2025-08-11 14:55:13"
"IND000031",2,40,2504,"2025-08-17","2025-09-05",19,3,2,5,"Checked In","Refunded","211090.00","25330.80","236420.80","98994.79","2025-07-26","High floor room","Corporate","24 hours before check-in","Foreign","2025-08-01 14:55:13"
"IND000032",6320,39,1563,"2025-06-27","2025-06-28",1,4,1,5,"No Show","Refunded","29523.00","3542.76","33065.76","20648.97","2025-05-12","Airport pickup","MakeMyTrip","24 hours before check-in","Foreign","2025-05-10 14:55:13"
"IND000033",859,45,1507,"2025-06-21","2025-07-11",20,2,1,3,"Pending","Partial","441880.00","53025.60","494905.60","469407.51","2025-04-19","Ayurvedic spa booking","Website","24 hours before check-in","Foreign","2025-06-16 14:55:13"
"IND000034",359,28,813,"2025-09-16","2025-10-07",21,2,2,4,"Checked Out","Pending","462294.00","55475.28","517769.28","203046.94","2025-08-04","Wedding arrangements","OYO","24 hours before check-in","Foreign","2025-07-31 14:55:13"
"IND000035",131,37,2800,"2025-06-04","2025-06-15",11,3,1,4,"Checked Out","Paid","72072.00","8648.64","80720.64","68820.89","2025-03-13","Ayurvedic spa booking","Walk-in","24 hours before check-in","Foreign","2025-05-20 14:55:13"
"IND000036",4931,15,771,"2025-12-01","2025-12-20",19,5,1,6,"No Show","Refunded","632909.00","75949.08","708858.08","90432.87","2025-10-31","Birthday surprise","Agoda","24 hours before check-in","Indian","2025-11-26 14:55:13"
"IND000037",5974,20,1705,"2025-06-17","2025-07-02",15,5,2,7,"Pending","Refunded","55785.00","6694.20","62479.20","58169.31","2025-06-10","Birthday surprise","Walk-in","24 hours before check-in","Indian","2025-03-20 14:55:13"
"IND000038",2265,28,1173,"2025-09-09","2025-09-18",9,5,2,7,"No Show","Pending","317475.00","38097.00","355572.00","173573.50","2025-08-17","Business meeting setup","OYO","24 hours before check-in","Indian","2025-08-01 14:55:13"
"IND000039",4190,10,2851,"2026-03-15","2026-03-29",14,6,3,9,"Pending","Pending","492044.00","59045.28","551089.28","84287.06","2025-12-21","Quiet room","Phone","24 hours before check-in","Foreign","2025-12-26 14:55:13"
"IND000040",6206,11,1405,"2026-03-09","2026-03-23",14,6,3,9,"Checked In","Pending","288190.00","34582.80","322772.80","227980.88","2026-02-04","Wedding arrangements","Travel Agent","24 hours before check-in","Indian","2026-02-05 14:55:13"
"IND000041",4015,21,2942,"2026-01-12","2026-01-20",8,3,4,7,"Confirmed","Paid","265008.00","31800.96","296808.96","218414.34","2025-11-23","Business meeting setup","Website","24 hours before check-in","Foreign","2025-11-28 14:55:13"
"IND000042",4896,43,1610,"2025-12-23","2025-12-30",7,1,2,3,"Cancelled","Partial","254765.00","30571.80","285336.80","210159.31","2025-11-06","Late check-in","Corporate","24 hours before check-in","Indian","2025-10-24 14:55:13"
"IND000043",3828,31,703,"2025-11-26","2025-12-06",10,5,4,9,"Cancelled","Pending","303320.00","36398.40","339718.40","333964.23","2025-09-30","None","Website","24 hours before check-in","Indian","2025-09-28 14:55:13"
"IND000044",6036,5,2949,"2025-08-09","2025-08-18",9,3,3,6,"Checked Out","Refunded","204534.00","24544.08","229078.08","180084.03","2025-06-11","Birthday surprise","MakeMyTrip","24 hours before check-in","Indian","2025-07-17 14:55:13"
"IND000045",6288,29,547,"2025-12-04","2025-12-14",10,1,1,2,"Checked Out","Refunded","380620.00","45674.40","426294.40","58781.80","2025-09-18","Quiet room","Goibibo","24 hours before check-in","Foreign","2025-10-14 14:55:13"
"IND000046",6738,25,782,"2025-07-07","2025-07-09",2,2,2,4,"Cancelled","Partial","14314.00","1717.68","16031.68","2265.41","2025-04-13","Honeymoon package","Website","24 hours before check-in","Indian","2025-04-15 14:55:13"
"IND000047",808,19,806,"2025-08-28","2025-09-11",14,6,2,8,"Checked Out","Pending","248878.00","29865.36","278743.36","134006.74","2025-08-04","Cultural tour arrangement","Booking.com","24 hours before check-in","Foreign","2025-07-23 14:55:13"
"IND000048",6332,28,750,"2025-11-18","2025-11-27",9,1,4,5,"Cancelled","Refunded","182169.00","21860.28","204029.28","111420.98","2025-09-10","Early check-out","Corporate","24 hours before check-in","Indian","2025-09-20 14:55:13"
"IND000049",5061,10,1195,"2025-09-14","2025-09-25",11,5,2,7,"Cancelled","Pending","160061.00","19207.32","179268.32","153014.05","2025-07-20","Late check-in","Goibibo","24 hours before check-in","Foreign","2025-09-07 14:55:13"
"IND000050",7678,16,1253,"2026-03-30","2026-04-19",20,3,4,7,"Checked In","Refunded","477400.00","57288.00","534688.00","291019.97","2026-01-01","Extra towels","Walk-in","24 hours before check-in","Foreign","2026-03-09 14:55:13"
"IND000051",3233,9,2593,"2025-07-26","2025-08-12",17,4,4,8,"Confirmed","Refunded","114240.00","13708.80","127948.80","74133.47","2025-05-17","Ayurvedic spa booking","Agoda","24 hours before check-in","Foreign","2025-05-09 14:55:13"
"IND000052",7480,16,2384,"2025-04-21","2025-05-09",18,4,1,5,"Pending","Refunded","90666.00","10879.92","101545.92","59802.01","2025-04-20","Anniversary celebration","Website","24 hours before check-in","Foreign","2025-04-12 14:55:13"
"IND000053",7330,40,2986,"2026-04-11","2026-04-30",19,1,2,3,"Confirmed","Pending","361190.00","43342.80","404532.80","255325.27","2026-02-27","Anniversary celebration","Agoda","24 hours before check-in","Indian","2026-02-02 14:55:13"
"IND000054",5516,8,1701,"2025-10-31","2025-11-16",16,6,2,8,"Confirmed","Partial","496112.00","59533.44","555645.44","309899.36","2025-09-27","Anniversary celebration","Walk-in","24 hours before check-in","Foreign","2025-08-13 14:55:13"
"IND000055",3748,32,270,"2026-03-27","2026-04-07",11,2,2,4,"No Show","Refunded","183051.00","21966.12","205017.12","136170.58","2026-01-31","Honeymoon package","Corporate","24 hours before check-in","Indian","2026-01-02 14:55:13"
"IND000056",3242,28,2754,"2025-06-02","2025-06-04",2,5,0,5,"Pending","Paid","13624.00","1634.88","15258.88","9592.16","2025-03-30","High floor room","Agoda","24 hours before check-in","Indian","2025-03-14 14:55:13"
"IND000057",2934,17,1302,"2025-10-21","2025-10-26",5,2,4,6,"Checked Out","Partial","64470.00","7736.40","72206.40","55972.76","2025-08-20","Birthday surprise","Website","24 hours before check-in","Foreign","2025-10-06 14:55:13"
"IND000058",4645,22,380,"2026-03-21","2026-04-07",17,5,4,9,"Checked In","Partial","468894.00","56267.28","525161.28","303284.77","2026-02-23","High floor room","Walk-in","24 hours before check-in","Foreign","2026-02-05 14:55:13"
"IND000059",5666,14,1599,"2026-02-27","2026-03-07",8,6,2,8,"Checked Out","Refunded","211960.00","25435.20","237395.20","57188.51","2026-01-09","Early check-out","Travel Agent","24 hours before check-in","Foreign","2026-01-29 14:55:13"
"IND000060",1936,3,700,"2026-03-26","2026-04-09",14,4,1,5,"Cancelled","Partial","551292.00","66155.04","617447.04","228930.11","2026-03-09","Early check-out","Walk-in","24 hours before check-in","Indian","2026-01-12 14:55:13"
"IND000061",5229,27,1968,"2025-09-27","2025-10-11",14,4,1,5,"Confirmed","Partial","550116.00","66013.92","616129.92","573800.16","2025-07-23","None","Booking.com","24 hours before check-in","Indian","2025-09-25 14:55:13"
"IND000062",4869,7,872,"2026-03-03","2026-03-15",12,3,1,4,"Checked Out","Refunded","145668.00","17480.16","163148.16","154763.63","2026-01-25","Late check-in","Website","24 hours before check-in","Indian","2026-02-05 14:55:13"
"IND000063",7187,34,1976,"2025-06-19","2025-06-26",7,1,3,4,"Cancelled","Refunded","129444.00","15533.28","144977.28","110732.27","2025-05-08","Extra towels","Agoda","24 hours before check-in","Indian","2025-05-18 14:55:13"
"IND000064",3036,48,2941,"2025-08-08","2025-08-14",6,5,0,5,"No Show","Partial","188100.00","22572.00","210672.00","81956.82","2025-05-12","Ayurvedic spa booking","Phone","24 hours before check-in","Indian","2025-06-05 14:55:13"
"IND000065",4254,40,1143,"2025-04-21","2025-04-29",8,4,0,4,"Confirmed","Refunded","102272.00","12272.64","114544.64","109389.85","2025-03-23","Late check-in","MakeMyTrip","24 hours before check-in","Foreign","2025-03-13 14:55:13"
"IND000066",796,32,1218,"2026-04-15","2026-05-06",21,4,0,4,"Pending","Paid","489636.00","58756.32","548392.32","152291.02","2026-04-02","Quiet room","Corporate","24 hours before check-in","Foreign","2026-01-28 14:55:13"
"IND000067",5808,17,65,"2025-08-09","2025-08-24",15,5,3,8,"Checked Out","Paid","221430.00","26571.60","248001.60","151471.48","2025-05-16","Extra towels","MakeMyTrip","24 hours before check-in","Foreign","2025-07-10 14:55:13"
"IND000068",6083,19,1619,"2025-07-17","2025-08-06",20,2,4,6,"Checked Out","Refunded","562020.00","67442.40","629462.40","227593.41","2025-04-27","Birthday surprise","Walk-in","24 hours before check-in","Foreign","2025-05-04 14:55:13"
"IND000069",3983,20,2436,"2026-03-27","2026-04-11",15,6,2,8,"Cancelled","Refunded","409950.00","49194.00","459144.00","350026.29","2026-03-03","Airport pickup","Travel Agent","24 hours before check-in","Foreign","2026-02-06 14:55:13"
"IND000070",2549,46,95,"2025-09-09","2025-09-30",21,1,4,5,"Checked Out","Paid","229488.00","27538.56","257026.56","204576.51","2025-08-12","Wedding arrangements","Booking.com","24 hours before check-in","Foreign","2025-07-29 14:55:13"
"IND000071",4282,13,2996,"2026-03-20","2026-03-29",9,6,1,7,"Checked In","Paid","97290.00","11674.80","108964.80","89254.58","2026-03-04","None","Phone","24 hours before check-in","Foreign","2025-12-29 14:55:13"
"IND000072",6396,21,302,"2025-10-26","2025-11-08",13,2,4,6,"Pending","Refunded","505544.00","60665.28","566209.28","303155.36","2025-08-02","Ayurvedic spa booking","Goibibo","24 hours before check-in","Foreign","2025-09-19 14:55:13"
"IND000073",6957,15,272,"2025-12-19","2025-12-20",1,2,0,2,"Confirmed","Partial","7172.00","860.64","8032.64","7507.69","2025-10-14","Extra towels","OYO","24 hours before check-in","Foreign","2025-11-12 14:55:13"
"IND000074",756,42,2233,"2025-12-15","2025-12-26",11,6,1,7,"Cancelled","Paid","66451.00","7974.12","74425.12","48693.62","2025-11-14","Wedding arrangements","MakeMyTrip","24 hours before check-in","Indian","2025-11-25 14:55:13"
"IND000075",740,40,868,"2025-12-27","2026-01-14",18,6,1,7,"Pending","Partial","163890.00","19666.80","183556.80","86853.74","2025-12-13","Extra towels","Agoda","24 hours before check-in","Indian","2025-10-01 14:55:13"
"IND000076",5506,38,790,"2025-10-06","2025-10-08",2,1,2,3,"Confirmed","Refunded","12320.00","1478.40","13798.40","1677.19","2025-09-24","Vegetarian meals only","Travel Agent","24 hours before check-in","Indian","2025-08-21 14:55:13"
"IND000077",1670,10,785,"2025-12-07","2025-12-20",13,5,1,6,"Cancelled","Paid","175487.00","21058.44","196545.44","57760.99","2025-09-30","Extra towels","OYO","24 hours before check-in","Indian","2025-10-08 14:55:13"
"IND000078",4251,8,1972,"2025-12-01","2025-12-22",21,5,3,8,"Confirmed","Refunded","215208.00","25824.96","241032.96","146941.83","2025-10-08","Ayurvedic spa booking","Travel Agent","24 hours before check-in","Foreign","2025-11-29 14:55:13"
"IND000079",1305,6,1074,"2025-10-20","2025-10-23",3,5,1,6,"No Show","Pending","106509.00","12781.08","119290.08","77703.19","2025-08-11","Cultural tour arrangement","Walk-in","24 hours before check-in","Indian","2025-08-10 14:55:13"
"IND000080",1665,8,401,"2026-03-18","2026-03-20",2,4,0,4,"Pending","Pending","69372.00","8324.64","77696.64","47685.62","2026-01-31","None","MakeMyTrip","24 hours before check-in","Indian","2026-01-20 14:55:13"
"IND000081",1667,31,2827,"2026-01-02","2026-01-15",13,6,1,7,"Cancelled","Paid","113386.00","13606.32","126992.32","126678.97","2025-11-20","Wedding arrangements","Booking.com","24 hours before check-in","Indian","2025-12-27 14:55:13"
"IND000082",5294,4,1424,"2026-02-04","2026-02-15",11,1,1,2,"Checked In","Refunded","193611.00","23233.32","216844.32","137233.52","2025-12-04","Extra towels","Corporate","24 hours before check-in","Foreign","2025-11-17 14:55:13"
"IND000083",5770,38,1755,"2026-01-17","2026-01-23",6,3,4,7,"No Show","Paid","71946.00","8633.52","80579.52","71474.62","2025-12-21","Birthday surprise","Booking.com","24 hours before check-in","Indian","2025-12-13 14:55:13"
"IND000084",4076,44,2800,"2026-01-26","2026-02-07",12,5,0,5,"Checked Out","Pending","126588.00","15190.56","141778.56","122546.26","2025-12-25","Extra towels","Goibibo","24 hours before check-in","Indian","2026-01-19 14:55:13"
"IND000085",3718,13,669,"2025-08-08","2025-08-16",8,5,3,8,"Cancelled","Paid","223088.00","26770.56","249858.56","192501.43","2025-06-17","Extra towels","Walk-in","24 hours before check-in","Foreign","2025-06-03 14:55:13"
"IND000086",476,39,2849,"2025-09-28","2025-10-05",7,5,3,8,"Pending","Pending","154966.00","18595.92","173561.92","43286.39","2025-07-13","Quiet room","Website","24 hours before check-in","Foreign","2025-08-20 14:55:13"
"IND000087",7376,14,2696,"2025-12-11","2025-12-15",4,3,4,7,"Cancelled","Pending","79164.00","9499.68","88663.68","67995.44","2025-10-28","Ayurvedic spa booking","Goibibo","24 hours before check-in","Foreign","2025-11-20 14:55:13"
"IND000088",1123,48,2481,"2025-12-06","2025-12-11",5,5,4,9,"Cancelled","Paid","107790.00","12934.80","120724.80","108870.62","2025-10-22","Anniversary celebration","Travel Agent","24 hours before check-in","Indian","2025-10-17 14:55:13"
"IND000089",2803,24,378,"2025-12-10","2025-12-28",18,2,4,6,"Confirmed","Pending","97542.00","11705.04","109247.04","59890.77","2025-10-30","Birthday surprise","Walk-in","24 hours before check-in","Indian","2025-11-19 14:55:13"
"IND000090",1505,32,776,"2025-07-04","2025-07-15",11,2,4,6,"Checked In","Partial","283459.00","34015.08","317474.08","99840.95","2025-05-30","Cultural tour arrangement","Phone","24 hours before check-in","Indian","2025-05-25 14:55:13"
"IND000091",2113,18,1768,"2025-09-16","2025-10-01",15,2,1,3,"Cancelled","Refunded","128400.00","15408.00","143808.00","71085.22","2025-07-22","Wedding arrangements","Walk-in","24 hours before check-in","Indian","2025-09-15 14:55:13"
"IND000092",5044,47,2360,"2025-06-17","2025-07-02",15,3,4,7,"No Show","Partial","353715.00","42445.80","396160.80","191596.03","2025-05-28","Birthday surprise","Corporate","24 hours before check-in","Foreign","2025-04-28 14:55:13"
"IND000093",5479,15,2852,"2026-01-02","2026-01-11",9,2,2,4,"Checked Out","Partial","357930.00","42951.60","400881.60","266912.65","2026-01-01","Vegetarian meals only","Walk-in","24 hours before check-in","Indian","2025-12-22 14:55:13"
"IND000094",6681,42,1368,"2025-06-17","2025-06-26",9,6,2,8,"Confirmed","Partial","279900.00","33588.00","313488.00","114613.43","2025-04-01","Airport pickup","Corporate","24 hours before check-in","Indian","2025-06-16 14:55:13"
"IND000095",6806,24,949,"2026-03-05","2026-03-11",6,2,2,4,"Pending","Pending","189000.00","22680.00","211680.00","134576.83","2026-03-03","Late check-in","Phone","24 hours before check-in","Indian","2025-12-20 14:55:13"
"IND000096",6025,11,2135,"2026-01-10","2026-01-18",8,4,0,4,"Pending","Paid","190800.00","22896.00","213696.00","116270.80","2026-01-09","Airport pickup","Goibibo","24 hours before check-in","Foreign","2026-01-03 14:55:13"
"IND000097",7011,49,964,"2025-10-28","2025-10-30",2,2,4,6,"Cancelled","Partial","51814.00","6217.68","58031.68","28237.70","2025-08-08","Quiet room","Agoda","24 hours before check-in","Indian","2025-09-29 14:55:13"
"IND000098",7063,33,1166,"2025-09-13","2025-09-20",7,6,2,8,"Pending","Refunded","80318.00","9638.16","89956.16","9725.41","2025-06-22","Anniversary celebration","Agoda","24 hours before check-in","Foreign","2025-07-08 14:55:13"
"IND000099",5310,13,2165,"2026-01-26","2026-02-10",15,1,1,2,"Confirmed","Refunded","65775.00","7893.00","73668.00","56913.15","2025-11-05","Birthday surprise","Phone","24 hours before check-in","Foreign","2026-01-14 14:55:13"
"IND000100",2782,49,1458,"2026-01-03","2026-01-05",2,3,2,5,"Confirmed","Partial","19600.00","2352.00","21952.00","9968.26","2025-10-14","Extra towels","Walk-in","24 hours before check-in","Indian","2025-11-24 14:55:13"
"IND000101",5902,13,1751,"2025-07-16","2025-08-06",21,5,1,6,"Checked Out","Refunded","224553.00","26946.36","251499.36","34027.16","2025-06-23","Birthday surprise","Goibibo","24 hours before check-in","Foreign","2025-05-20 14:55:13"
"IND000102",2880,43,1767,"2025-07-23","2025-08-05",13,4,3,7,"Cancelled","Pending","354081.00","42489.72","396570.72","51980.03","2025-05-31","Early check-out","Walk-in","24 hours before check-in","Indian","2025-06-04 14:55:13"
"IND000103",2526,2,2068,"2025-08-21","2025-08-22",1,1,2,3,"Confirmed","Pending","26731.00","3207.72","29938.72","11460.94","2025-08-10","High floor room","Corporate","24 hours before check-in","Foreign","2025-06-21 14:55:13"
"IND000104",1314,34,2558,"2025-08-23","2025-08-29",6,6,2,8,"No Show","Partial","147840.00","17740.80","165580.80","74717.13","2025-07-26","Vegetarian meals only","Phone","24 hours before check-in","Indian","2025-07-28 14:55:13"
"IND000105",2939,26,2430,"2026-03-04","2026-03-05",1,3,4,7,"Confirmed","Paid","19479.00","2337.48","21816.48","5830.64","2025-12-09","Late check-in","Walk-in","24 hours before check-in","Indian","2025-12-04 14:55:13"
"IND000106",1744,44,2738,"2025-06-07","2025-06-14",7,5,2,7,"No Show","Pending","172431.00","20691.72","193122.72","33031.43","2025-04-26","Airport pickup","Booking.com","24 hours before check-in","Foreign","2025-03-09 14:55:13"
"IND000107",3630,22,364,"2025-08-14","2025-08-24",10,6,2,8,"Pending","Refunded","75170.00","9020.40","84190.40","61532.52","2025-05-29","Late check-in","Corporate","24 hours before check-in","Indian","2025-07-28 14:55:13"
"IND000108",423,41,2286,"2025-05-06","2025-05-18",12,4,2,6,"Checked In","Pending","452856.00","54342.72","507198.72","476649.27","2025-05-01","Wedding arrangements","Walk-in","24 hours before check-in","Foreign","2025-02-06 14:55:13"
"IND000109",919,36,954,"2026-04-09","2026-04-11",2,5,3,8,"Cancelled","Paid","67170.00","8060.40","75230.40","51139.33","2026-02-09","Late check-in","Goibibo","24 hours before check-in","Foreign","2026-02-17 14:55:13"
"IND000110",4722,30,1047,"2025-06-09","2025-06-17",8,4,0,4,"Checked In","Paid","268216.00","32185.92","300401.92","89498.40","2025-06-07","Business meeting setup","Booking.com","24 hours before check-in","Foreign","2025-03-31 14:55:13"
"IND000111",3338,28,1340,"2026-03-17","2026-04-02",16,4,1,5,"Checked In","Refunded","457312.00","54877.44","512189.44","137321.95","2025-12-29","Quiet room","Goibibo","24 hours before check-in","Indian","2026-01-29 14:55:13"
"IND000112",2420,48,1370,"2026-03-08","2026-03-09",1,2,1,3,"Confirmed","Pending","4222.00","506.64","4728.64","1332.71","2026-02-15","None","Goibibo","24 hours before check-in","Foreign","2026-01-28 14:55:13"
"IND000113",5188,11,1410,"2025-12-06","2025-12-25",19,2,2,4,"Cancelled","Refunded","390260.00","46831.20","437091.20","164624.21","2025-10-28","Birthday surprise","Goibibo","24 hours before check-in","Foreign","2025-11-20 14:55:13"
"IND000114",6543,5,2801,"2025-06-16","2025-06-29",13,5,3,8,"No Show","Pending","51194.00","6143.28","57337.28","35573.61","2025-05-15","None","Website","24 hours before check-in","Foreign","2025-04-01 14:55:13"
"IND000115",6759,7,2718,"2025-06-22","2025-07-02",10,3,3,6,"No Show","Paid","386340.00","46360.80","432700.80","189926.40","2025-05-27","Vegetarian meals only","OYO","24 hours before check-in","Indian","2025-04-09 14:55:13"
"IND000116",6908,14,2133,"2026-04-15","2026-05-02",17,5,1,6,"Cancelled","Partial","121295.00","14555.40","135850.40","95434.45","2026-02-26","Ayurvedic spa booking","Website","24 hours before check-in","Foreign","2026-01-28 14:55:13"
"IND000117",7012,7,1453,"2025-11-19","2025-12-01",12,1,3,4,"Checked Out","Partial","293040.00","35164.80","328204.80","142241.35","2025-10-23","Anniversary celebration","Walk-in","24 hours before check-in","Indian","2025-10-03 14:55:13"
"IND000118",625,18,2436,"2025-04-27","2025-05-15",18,5,0,5,"Cancelled","Paid","681984.00","81838.08","763822.08","498997.39","2025-02-21","Extra towels","MakeMyTrip","24 hours before check-in","Foreign","2025-04-26 14:55:13"
"IND000119",477,3,535,"2025-12-20","2025-12-24",4,1,2,3,"Pending","Paid","143932.00","17271.84","161203.84","115365.02","2025-10-24","Ayurvedic spa booking","Goibibo","24 hours before check-in","Indian","2025-12-14 14:55:13"
"IND000120",3320,31,2059,"2025-07-27","2025-07-28",1,2,3,5,"Checked Out","Pending","16531.00","1983.72","18514.72","18198.97","2025-05-05","Late check-in","OYO","24 hours before check-in","Foreign","2025-07-15 14:55:13"
