"maintenance_id","hotel_id","room_id","issue_type","priority","description","reported_date","reported_by","assigned_staff","status","completion_date","cost_inr","gst_amount_inr","total_cost_inr","parts_used","vendor_involved","guest_impact","follow_up_required","warranty_applicable","created_at","updated_at"
"MNT000011",23,601,"TV/Electronics","Medium","Geyser not heating water","2025-08-17 15:57:10","EMP0661","EMP0423","Cancelled",NULL,"0.00","0.00","0.00",NULL,"In-house","None",False,False,"2025-08-17 15:57:10","2025-08-19 15:57:10"
"MNT000012",46,1738,"Geyser Repair","Critical","Room door lock issue","2025-08-15 15:57:10","EMP0085","EMP0031","Open",NULL,"0.00","0.00","0.00",NULL,"In-house","Major",True,False,"2025-08-15 15:57:10","2025-08-19 15:57:10"
"MNT000013",24,2187,"Carpentry","Critical","Paint peeling off walls","2025-05-14 15:57:10","EMP0019","EMP0400","Completed","2025-05-16 15:57:10","3434.18","618.15","4052.33","Geyser Element","Local Contractor","None",False,True,"2025-05-14 15:57:10","2025-05-16 15:57:10"
"MNT000014",2,2472,"Room Cleaning","Medium","Paint peeling off walls","2025-03-02 15:57:10","EMP0294","EMP0098","In Progress",NULL,"0.00","0.00","0.00",NULL,"In-house","Major",True,False,"2025-03-02 15:57:10","2025-08-19 15:57:10"
"MNT000015",5,1309,"Geyser Repair","Critical","Ceiling fan making noise","2025-06-10 15:57:10","EMP0712","EMP0434","In Progress","2025-06-19 15:57:10","4584.84","825.27","5410.11","Door Handle","Brand Service Center","Minor",True,False,"2025-06-10 15:57:10","2025-06-19 15:57:10"
"MNT000016",33,2097,"Pest Control","Low","Light bulb replacement needed","2025-05-08 15:57:10","EMP0083","EMP0509","On Hold","2025-05-21 15:57:10","1568.44","282.32","1850.76","Geyser Element","In-house","Major",False,False,"2025-05-08 15:57:10","2025-05-21 15:57:10"
"MNT000017",33,NULL,"Lock Repair","Low","WiFi connectivity issue","2025-04-10 15:57:10","EMP0251","EMP0159","Cancelled",NULL,"0.00","0.00","0.00",NULL,"In-house","Minor",True,False,"2025-04-10 15:57:10","2025-08-19 15:57:10"
"MNT000018",4,1828,"Painting","High","Window blind repair","2025-03-04 15:57:10","EMP0419","EMP0199","Open","2025-03-10 15:57:10","5068.23","912.28","5980.51","Door Handle","Brand Service Center","Major",False,False,"2025-03-04 15:57:10","2025-03-10 15:57:10"
"MNT000019",30,2479,"Carpentry","Critical","Carpet cleaning required","2025-05-28 15:57:10","EMP0715","EMP0784","Open","2025-05-30 15:57:10","6053.94","1089.71","7143.65","AC Filter","In-house","None",False,False,"2025-05-28 15:57:10","2025-05-30 15:57:10"
"MNT000020",50,2408,"Ceiling Fan","Critical","Bathroom tap leaking","2025-04-21 15:57:10","EMP0528","EMP0041","Cancelled","2025-04-30 15:57:10","15543.00","2797.74","18340.74","Light Bulb","In-house","Major",True,True,"2025-04-21 15:57:10","2025-04-30 15:57:10"
"MNT000021",24,NULL,"Electrical","Medium","AC not cooling properly","2025-05-30 15:57:10","EMP0448","EMP0203","Cancelled",NULL,"0.00","0.00","0.00",NULL,"In-house","Major",False,False,"2025-05-30 15:57:10","2025-08-19 15:57:10"
"MNT000022",46,1658,"Geyser Repair","High","WiFi connectivity issue","2025-02-25 15:57:10","EMP0459","EMP0703","Cancelled","2025-03-03 15:57:10","5864.07","1055.53","6919.60","Light Bulb","In-house","None",True,True,"2025-02-25 15:57:10","2025-03-03 15:57:10"
"MNT000023",49,1897,"Painting","High","Paint peeling off walls","2025-05-29 15:57:10","EMP0686","EMP0425","Cancelled","2025-06-07 15:57:10","3427.84","617.01","4044.85","Lock Mechanism","Brand Service Center","Major",False,False,"2025-05-29 15:57:10","2025-06-07 15:57:10"
"MNT000024",5,2953,"Furniture Repair","Low","Light bulb replacement needed","2025-05-16 15:57:10","EMP0505","EMP0486","On Hold","2025-05-17 15:57:10","1847.69","332.58","2180.27","Door Handle","In-house","None",True,False,"2025-05-16 15:57:10","2025-05-17 15:57:10"
"MNT000025",46,1351,"Ceiling Fan","Medium","Balcony door handle broken","2025-02-21 15:57:10","EMP0169","EMP0669","Open","2025-03-13 15:57:10","1746.98","314.46","2061.44","Fan Belt","In-house","Minor",True,False,"2025-02-21 15:57:10","2025-03-13 15:57:10"
"MNT000026",27,1854,"Geyser Repair","High","Window blind repair","2025-03-06 15:57:10","EMP0181","EMP0567","Open",NULL,"0.00","0.00","0.00",NULL,"In-house","Minor",True,False,"2025-03-06 15:57:10","2025-08-19 15:57:10"
"MNT000027",49,1760,"Ceiling Fan","Critical","Balcony door handle broken","2025-03-22 15:57:10","EMP0074","EMP0100","On Hold","2025-03-26 15:57:10","6822.76","1228.10","8050.86","None","Brand Service Center","None",False,True,"2025-03-22 15:57:10","2025-03-26 15:57:10"
"MNT000028",23,1920,"Carpentry","Medium","TV remote not working","2025-03-26 15:57:10","EMP0252","EMP0611","On Hold","2025-04-04 15:57:10","100.47","18.08","118.55","AC Filter","In-house","None",True,False,"2025-03-26 15:57:10","2025-04-04 15:57:10"
"MNT000029",38,1564,"Room Cleaning","Critical","Carpet cleaning required","2025-03-09 15:57:10","EMP0410","EMP0250","Cancelled",NULL,"0.00","0.00","0.00",NULL,"In-house","Major",False,False,"2025-03-09 15:57:10","2025-08-19 15:57:10"
"MNT000030",38,NULL,"TV/Electronics","Medium","Bathroom tap leaking","2025-05-16 15:57:10","EMP0706","EMP0377","In Progress","2025-06-05 15:57:10","2522.39","454.03","2976.42","Tap Washer","In-house","Minor",True,False,"2025-05-16 15:57:10","2025-06-05 15:57:10"
"MNT000031",28,180,"Ceiling Fan","Medium","Room door lock issue","2025-02-20 15:57:10","EMP0437","EMP0266","Completed",NULL,"0.00","0.00","0.00",NULL,"In-house","Minor",False,False,"2025-02-20 15:57:10","2025-08-19 15:57:10"
"MNT000032",4,808,"AC Repair","Low","Mini-bar not working","2025-03-29 15:57:10","EMP0700","EMP0419","Open","2025-04-10 15:57:10","2823.45","508.22","3331.67","Light Bulb","Brand Service Center","Major",True,False,"2025-03-29 15:57:10","2025-04-10 15:57:10"
"MNT000033",15,2466,"Furniture Repair","Medium","Paint peeling off walls","2025-07-21 15:57:10","EMP0644","EMP0424","Open","2025-08-10 15:57:10","2472.15","444.99","2917.14","AC Filter","In-house","Major",True,True,"2025-07-21 15:57:10","2025-08-10 15:57:10"
"MNT000034",8,1708,"AC Repair","Low","Balcony door handle broken","2025-07-22 15:57:10","EMP0155","EMP0674","Open","2025-08-03 15:57:10","2214.60","398.63","2613.23","Remote Battery","Brand Service Center","Minor",False,False,"2025-07-22 15:57:10","2025-08-03 15:57:10"
"MNT000035",21,NULL,"Window Repair","High","AC not cooling properly","2025-05-02 15:57:10","EMP0784","EMP0310","On Hold","2025-05-22 15:57:10","4018.97","723.41","4742.38","Fan Belt","Local Contractor","Major",True,True,"2025-05-02 15:57:10","2025-05-22 15:57:10"
"MNT000036",40,1688,"WiFi Issues","High","Bed sheet stains","2025-05-27 15:57:10","EMP0427","EMP0749","On Hold",NULL,"0.00","0.00","0.00",NULL,"In-house","Minor",True,False,"2025-05-27 15:57:10","2025-08-19 15:57:10"
"MNT000037",34,1024,"Furniture Repair","High","Paint peeling off walls","2025-05-24 15:57:10","EMP0349","EMP0536","On Hold","2025-06-03 15:57:10","5210.66","937.92","6148.58","Fan Belt","Local Contractor","Major",True,True,"2025-05-24 15:57:10","2025-06-03 15:57:10"
"MNT000038",24,NULL,"Carpentry","Critical","WiFi connectivity issue","2025-02-20 15:57:10","EMP0612","EMP0681","On Hold","2025-02-22 15:57:10","10679.64","1922.34","12601.98","Geyser Element","In-house","Major",False,True,"2025-02-20 15:57:10","2025-02-22 15:57:10"
"MNT000039",47,2170,"WiFi Issues","Critical","Mini-bar not working","2025-03-14 15:57:10","EMP0435","EMP0479","On Hold","2025-03-29 15:57:10","18856.30","3394.13","22250.43","Tap Washer","Brand Service Center","Major",False,True,"2025-03-14 15:57:10","2025-03-29 15:57:10"
"MNT000040",17,1127,"Pest Control","Critical","Mini-bar not working","2025-04-29 15:57:10","EMP0317","EMP0755","Open","2025-05-05 15:57:10","21847.80","3932.60","25780.40","Fan Belt","Brand Service Center","Major",False,False,"2025-04-29 15:57:10","2025-05-05 15:57:10"
"MNT000041",46,72,"Electrical","Medium","Paint peeling off walls","2025-04-24 15:57:10","EMP0556","EMP0786","On Hold","2025-04-27 15:57:10","2297.30","413.51","2710.81","Tap Washer","Local Contractor","Minor",True,False,"2025-04-24 15:57:10","2025-04-27 15:57:10"
"MNT000042",5,1067,"Ceiling Fan","Low","Geyser not heating water","2025-06-10 15:57:10","EMP0387","EMP0196","Cancelled","2025-06-15 15:57:10","791.52","142.47","933.99","Light Bulb","In-house","None",True,True,"2025-06-10 15:57:10","2025-06-15 15:57:10"
"MNT000043",15,1450,"Plumbing","High","Light bulb replacement needed","2025-03-09 15:57:10","EMP0202","EMP0484","Completed",NULL,"0.00","0.00","0.00",NULL,"In-house","Minor",False,False,"2025-03-09 15:57:10","2025-08-19 15:57:10"
"MNT000044",18,2391,"Window Repair","High","Window blind repair","2025-07-03 15:57:10","EMP0188","EMP0535","On Hold","2025-07-19 15:57:10","6546.86","1178.43","7725.29","Fan Belt","Local Contractor","Major",True,True,"2025-07-03 15:57:10","2025-07-19 15:57:10"
"MNT000045",40,1195,"Bathroom Fixtures","High","Ceiling fan making noise","2025-04-24 15:57:10","EMP0085","EMP0447","Open","2025-05-12 15:57:10","7043.28","1267.79","8311.07","Remote Battery","Brand Service Center","Minor",True,False,"2025-04-24 15:57:10","2025-05-12 15:57:10"
"MNT000046",22,2813,"Lock Repair","High","TV remote not working","2025-04-13 15:57:10","EMP0448","EMP0161","In Progress","2025-04-21 15:57:10","3293.05","592.75","3885.80","Geyser Element","Local Contractor","Major",True,False,"2025-04-13 15:57:10","2025-04-21 15:57:10"
"MNT000047",30,2137,"Window Repair","Critical","Mini-bar not working","2025-07-16 15:57:10","EMP0002","EMP0571","On Hold","2025-07-17 15:57:10","14718.65","2649.36","17368.01","Light Bulb","In-house","None",True,False,"2025-07-16 15:57:10","2025-07-17 15:57:10"
"MNT000048",21,463,"Geyser Repair","Low","Light bulb replacement needed","2025-04-02 15:57:10","EMP0634","EMP0747","Open","2025-04-03 15:57:10","1224.52","220.41","1444.93","Door Handle","In-house","Major",True,False,"2025-04-02 15:57:10","2025-04-03 15:57:10"
"MNT000049",31,1548,"Geyser Repair","Medium","Paint peeling off walls","2025-02-26 15:57:10","EMP0706","EMP0375","On Hold","2025-03-16 15:57:10","2787.06","501.67","3288.73","AC Filter","Local Contractor","None",True,False,"2025-02-26 15:57:10","2025-03-16 15:57:10"
"MNT000050",12,1287,"WiFi Issues","Critical","Light bulb replacement needed","2025-06-13 15:57:10","EMP0221","EMP0469","On Hold","2025-06-19 15:57:10","16518.74","2973.37","19492.11","AC Filter","Brand Service Center","Minor",True,False,"2025-06-13 15:57:10","2025-06-19 15:57:10"
"MNT000051",8,NULL,"Plumbing","Low","Window blind repair","2025-03-23 15:57:10","EMP0440","EMP0689","In Progress","2025-04-10 15:57:10","1988.75","357.97","2346.72","None","In-house","Major",True,False,"2025-03-23 15:57:10","2025-04-10 15:57:10"
"MNT000052",44,NULL,"Electrical","High","Carpet cleaning required","2025-06-19 15:57:10","EMP0264","EMP0326","On Hold","2025-06-23 15:57:10","5858.93","1054.61","6913.54","Light Bulb","In-house","Minor",True,False,"2025-06-19 15:57:10","2025-06-23 15:57:10"
"MNT000053",10,1134,"Painting","Critical","Light bulb replacement needed","2025-07-22 15:57:10","EMP0204","EMP0255","In Progress","2025-08-10 15:57:10","15472.87","2785.12","18257.99","Door Handle","Local Contractor","Major",True,False,"2025-07-22 15:57:10","2025-08-10 15:57:10"
"MNT000054",28,679,"TV/Electronics","Critical","Room door lock issue","2025-05-18 15:57:10","EMP0679","EMP0433","On Hold","2025-05-31 15:57:10","13375.50","2407.59","15783.09","Light Bulb","Brand Service Center","Major",True,True,"2025-05-18 15:57:10","2025-05-31 15:57:10"
"MNT000055",46,NULL,"Window Repair","Medium","Mini-bar not working","2025-07-07 15:57:10","EMP0733","EMP0320","On Hold","2025-07-17 15:57:10","535.95","96.47","632.42","Fan Belt","In-house","None",False,False,"2025-07-07 15:57:10","2025-07-17 15:57:10"
"MNT000056",18,1423,"Furniture Repair","Critical","TV remote not working","2025-07-20 15:57:10","EMP0609","EMP0098","In Progress","2025-08-06 15:57:10","6698.44","1205.72","7904.16","Paint","Local Contractor","Minor",False,True,"2025-07-20 15:57:10","2025-08-06 15:57:10"
"MNT000057",16,1761,"Geyser Repair","Medium","WiFi connectivity issue","2025-08-12 15:57:10","EMP0494","EMP0605","On Hold","2025-08-14 15:57:10","439.64","79.14","518.78","Lock Mechanism","In-house","Minor",False,True,"2025-08-12 15:57:10","2025-08-14 15:57:10"
"MNT000058",43,2941,"Ceiling Fan","Low","TV remote not working","2025-06-18 15:57:10","EMP0329","EMP0772","Cancelled","2025-06-24 15:57:10","2809.33","505.68","3315.01","AC Filter","In-house","Minor",True,True,"2025-06-18 15:57:10","2025-06-24 15:57:10"
"MNT000059",5,915,"Furniture Repair","High","Paint peeling off walls","2025-04-30 15:57:10","EMP0340","EMP0307","On Hold","2025-05-06 15:57:10","1523.21","274.18","1797.39","AC Filter","In-house","Major",False,True,"2025-04-30 15:57:10","2025-05-06 15:57:10"
"MNT000060",19,2587,"Carpentry","Medium","Room door lock issue","2025-04-14 15:57:10","EMP0471","EMP0775","Cancelled","2025-04-18 15:57:10","1105.91","199.06","1304.97","Paint","In-house","Major",True,False,"2025-04-14 15:57:10","2025-04-18 15:57:10"
"MNT000061",49,1007,"Painting","Low","Light bulb replacement needed","2025-08-15 15:57:10","EMP0799","EMP0238","In Progress","2025-08-30 15:57:10","1745.81","314.25","2060.06","Lock Mechanism","In-house","None",False,False,"2025-08-15 15:57:10","2025-08-30 15:57:10"
"MNT000062",37,1395,"WiFi Issues","High","Balcony door handle broken","2025-05-10 15:57:10","EMP0477","EMP0688","Completed","2025-05-23 15:57:10","3816.29","686.93","4503.22","Paint","Local Contractor","Minor",False,False,"2025-05-10 15:57:10","2025-05-23 15:57:10"
"MNT000063",8,2644,"Carpentry","High","TV remote not working","2025-07-03 15:57:10","EMP0319","EMP0730","Open","2025-07-17 15:57:10","3665.40","659.77","4325.17","Fan Belt","In-house","None",True,False,"2025-07-03 15:57:10","2025-07-17 15:57:10"
"MNT000064",13,NULL,"Lock Repair","High","Carpet cleaning required","2025-04-22 15:57:10","EMP0095","EMP0741","Open","2025-05-13 15:57:10","6059.75","1090.75","7150.50","AC Filter","Brand Service Center","Major",False,False,"2025-04-22 15:57:10","2025-05-13 15:57:10"
"MNT000065",30,NULL,"Pest Control","High","Bathroom exhaust fan noise","2025-05-11 15:57:10","EMP0680","EMP0521","Completed",NULL,"0.00","0.00","0.00",NULL,"In-house","Major",False,False,"2025-05-11 15:57:10","2025-08-19 15:57:10"
"MNT000066",15,NULL,"Plumbing","Low","Geyser not heating water","2025-06-08 15:57:10","EMP0055","EMP0248","Completed","2025-06-24 15:57:10","511.85","92.13","603.98","Geyser Element","In-house","Minor",False,False,"2025-06-08 15:57:10","2025-06-24 15:57:10"
"MNT000067",33,2177,"AC Repair","Low","Mini-bar not working","2025-06-08 15:57:10","EMP0401","EMP0244","Cancelled","2025-06-13 15:57:10","2941.87","529.54","3471.41","Light Bulb","In-house","None",False,True,"2025-06-08 15:57:10","2025-06-13 15:57:10"
"MNT000068",50,2348,"Window Repair","Medium","Ceiling fan making noise","2025-07-25 15:57:10","EMP0201","EMP0425","On Hold",NULL,"0.00","0.00","0.00",NULL,"In-house","None",False,False,"2025-07-25 15:57:10","2025-08-19 15:57:10"
"MNT000069",18,NULL,"WiFi Issues","High","AC not cooling properly","2025-04-10 15:57:10","EMP0689","EMP0599","In Progress",NULL,"0.00","0.00","0.00",NULL,"In-house","None",False,False,"2025-04-10 15:57:10","2025-08-19 15:57:10"
"MNT000070",2,NULL,"Window Repair","Low","Carpet cleaning required","2025-08-13 15:57:10","EMP0462","EMP0389","Cancelled",NULL,"0.00","0.00","0.00",NULL,"In-house","None",True,False,"2025-08-13 15:57:10","2025-08-19 15:57:10"
"MNT000071",21,2174,"Bathroom Fixtures","Low","WiFi connectivity issue","2025-06-28 15:57:10","EMP0584","EMP0020","On Hold",NULL,"0.00","0.00","0.00",NULL,"In-house","Minor",False,False,"2025-06-28 15:57:10","2025-08-19 15:57:10"
"MNT000072",27,2190,"Painting","Low","Window blind repair","2025-07-20 15:57:10","EMP0343","EMP0010","Completed","2025-08-05 15:57:10","1635.82","294.45","1930.27","AC Filter","In-house","Major",True,True,"2025-07-20 15:57:10","2025-08-05 15:57:10"
"MNT000073",4,721,"Painting","Medium","Paint peeling off walls","2025-07-28 15:57:10","EMP0663","EMP0055","On Hold","2025-08-08 15:57:10","1673.42","301.22","1974.64","None","In-house","Minor",True,True,"2025-07-28 15:57:10","2025-08-08 15:57:10"
"MNT000074",6,969,"Pest Control","Low","Balcony door handle broken","2025-07-25 15:57:10","EMP0513","EMP0388","In Progress",NULL,"0.00","0.00","0.00",NULL,"In-house","None",True,False,"2025-07-25 15:57:10","2025-08-19 15:57:10"
"MNT000075",41,2990,"Geyser Repair","Low","Bathroom exhaust fan noise","2025-04-21 15:57:10","EMP0046","EMP0044","Cancelled","2025-05-10 15:57:10","2992.05","538.57","3530.62","Door Handle","In-house","None",True,True,"2025-04-21 15:57:10","2025-05-10 15:57:10"
"MNT000076",37,2378,"Painting","Critical","Window blind repair","2025-05-23 15:57:10","EMP0627","EMP0790","Cancelled","2025-06-11 15:57:10","13599.96","2447.99","16047.95","Tap Washer","Local Contractor","Major",True,False,"2025-05-23 15:57:10","2025-06-11 15:57:10"
"MNT000077",37,1458,"AC Repair","Critical","Bathroom tap leaking","2025-08-13 15:57:10","EMP0510","EMP0700","On Hold","2025-08-20 15:57:10","4320.86","777.75","5098.61","Remote Battery","In-house","None",False,False,"2025-08-13 15:57:10","2025-08-20 15:57:10"
"MNT000078",25,1551,"Pest Control","Medium","Room door lock issue","2025-04-10 15:57:10","EMP0168","EMP0788","Cancelled",NULL,"0.00","0.00","0.00",NULL,"In-house","None",True,False,"2025-04-10 15:57:10","2025-08-19 15:57:10"
"MNT000079",14,2695,"Carpentry","Critical","Bed sheet stains","2025-05-09 15:57:10","EMP0512","EMP0307","Open","2025-05-28 15:57:10","14341.47","2581.46","16922.93","Lock Mechanism","Brand Service Center","None",False,True,"2025-05-09 15:57:10","2025-05-28 15:57:10"
"MNT000080",8,1878,"Window Repair","Low","Light bulb replacement needed","2025-03-22 15:57:10","EMP0552","EMP0271","In Progress","2025-04-12 15:57:10","2328.40","419.11","2747.51","Geyser Element","Local Contractor","Major",False,False,"2025-03-22 15:57:10","2025-04-12 15:57:10"
"MNT000081",34,NULL,"Painting","Critical","Paint peeling off walls","2025-04-26 15:57:10","EMP0766","EMP0298","In Progress",NULL,"0.00","0.00","0.00",NULL,"In-house","Major",True,False,"2025-04-26 15:57:10","2025-08-19 15:57:10"
"MNT000082",3,2458,"Bathroom Fixtures","Critical","Carpet cleaning required","2025-05-23 15:57:10","EMP0095","EMP0033","Completed","2025-05-25 15:57:10","13025.60","2344.61","15370.21","Fan Belt","Local Contractor","Major",True,True,"2025-05-23 15:57:10","2025-05-25 15:57:10"
"MNT000083",23,NULL,"Electrical","High","Bathroom exhaust fan noise","2025-07-10 15:57:10","EMP0194","EMP0776","Completed",NULL,"0.00","0.00","0.00",NULL,"In-house","None",True,False,"2025-07-10 15:57:10","2025-08-19 15:57:10"
"MNT000084",9,745,"Window Repair","Low","Ceiling fan making noise","2025-07-04 15:57:10","EMP0095","EMP0265","Completed","2025-07-07 15:57:10","991.63","178.49","1170.12","Paint","In-house","Major",False,False,"2025-07-04 15:57:10","2025-07-07 15:57:10"
"MNT000085",49,NULL,"Plumbing","Medium","Ceiling fan making noise","2025-06-29 15:57:10","EMP0461","EMP0379","Cancelled","2025-07-13 15:57:10","2353.89","423.70","2777.59","Door Handle","Brand Service Center","Major",True,False,"2025-06-29 15:57:10","2025-07-13 15:57:10"
"MNT000086",17,2056,"Ceiling Fan","Critical","Room door lock issue","2025-06-07 15:57:10","EMP0355","EMP0606","Cancelled",NULL,"0.00","0.00","0.00",NULL,"In-house","Major",True,False,"2025-06-07 15:57:10","2025-08-19 15:57:10"
"MNT000087",10,239,"Electrical","Medium","Bathroom tap leaking","2025-02-22 15:57:10","EMP0115","EMP0260","Completed","2025-03-13 15:57:10","1923.18","346.17","2269.35","Paint","In-house","Major",False,True,"2025-02-22 15:57:10","2025-03-13 15:57:10"
"MNT000088",40,NULL,"Electrical","Critical","TV remote not working","2025-06-29 15:57:10","EMP0290","EMP0454","Completed","2025-07-19 15:57:10","18156.19","3268.11","21424.30","Light Bulb","In-house","Major",False,True,"2025-06-29 15:57:10","2025-07-19 15:57:10"
"MNT000089",34,2398,"Furniture Repair","Low","Bathroom exhaust fan noise","2025-08-16 15:57:10","EMP0017","EMP0334","In Progress",NULL,"0.00","0.00","0.00",NULL,"In-house","Major",True,False,"2025-08-16 15:57:10","2025-08-19 15:57:10"
"MNT000090",17,NULL,"Bathroom Fixtures","Critical","AC not cooling properly","2025-03-25 15:57:10","EMP0382","EMP0048","In Progress","2025-03-29 15:57:10","23378.99","4208.22","27587.21","Lock Mechanism","Local Contractor","None",True,False,"2025-03-25 15:57:10","2025-03-29 15:57:10"
"MNT000091",13,1164,"Lock Repair","High","Carpet cleaning required","2025-07-11 15:57:10","EMP0619","EMP0141","Cancelled","2025-08-01 15:57:10","4663.47","839.42","5502.89","Remote Battery","In-house","Minor",True,False,"2025-07-11 15:57:10","2025-08-01 15:57:10"
"MNT000092",5,2165,"Room Cleaning","Medium","Balcony door handle broken","2025-04-08 15:57:10","EMP0671","EMP0651","Open","2025-04-12 15:57:10","2508.19","451.47","2959.66","Fan Belt","In-house","Major",True,False,"2025-04-08 15:57:10","2025-04-12 15:57:10"
"MNT000093",37,NULL,"Lock Repair","High","Balcony door handle broken","2025-02-26 15:57:10","EMP0130","EMP0403","Completed","2025-03-02 15:57:10","6294.51","1133.01","7427.52","Tap Washer","In-house","Minor",True,True,"2025-02-26 15:57:10","2025-03-02 15:57:10"
"MNT000094",12,NULL,"Lock Repair","Critical","Light bulb replacement needed","2025-07-18 15:57:10","EMP0694","EMP0394","On Hold","2025-07-25 15:57:10","11766.93","2118.05","13884.98","Tap Washer","Local Contractor","Minor",False,False,"2025-07-18 15:57:10","2025-07-25 15:57:10"
"MNT000095",12,737,"Lock Repair","High","Bathroom tap leaking","2025-05-22 15:57:10","EMP0386","EMP0245","Open","2025-06-09 15:57:10","1241.69","223.50","1465.19","None","In-house","Major",False,False,"2025-05-22 15:57:10","2025-06-09 15:57:10"
"MNT000096",21,1287,"AC Repair","Low","Bathroom tap leaking","2025-06-02 15:57:10","EMP0212","EMP0672","Cancelled",NULL,"0.00","0.00","0.00",NULL,"In-house","Major",False,False,"2025-06-02 15:57:10","2025-08-19 15:57:10"
"MNT000097",15,2069,"Room Cleaning","High","Mini-bar not working","2025-04-21 15:57:10","EMP0217","EMP0021","Open","2025-05-01 15:57:10","2122.54","382.06","2504.60","Tap Washer","In-house","Major",True,False,"2025-04-21 15:57:10","2025-05-01 15:57:10"
"MNT000098",37,NULL,"WiFi Issues","Low","Bathroom tap leaking","2025-03-29 15:57:10","EMP0129","EMP0086","Open","2025-04-11 15:57:10","2812.69","506.28","3318.97","Light Bulb","Brand Service Center","Minor",False,True,"2025-03-29 15:57:10","2025-04-11 15:57:10"
"MNT000099",28,1896,"Lock Repair","Low","Ceiling fan making noise","2025-02-28 15:57:10","EMP0232","EMP0297","Completed","2025-03-11 15:57:10","2778.86","500.19","3279.05","AC Filter","Local Contractor","Minor",True,True,"2025-02-28 15:57:10","2025-03-11 15:57:10"
"MNT000100",9,737,"AC Repair","Low","Carpet cleaning required","2025-04-30 15:57:10","EMP0412","EMP0648","Completed","2025-05-20 15:57:10","2418.08","435.25","2853.33","Geyser Element","In-house","Major",False,False,"2025-04-30 15:57:10","2025-05-20 15:57:10"
"MNT000101",45,2844,"AC Repair","Medium","WiFi connectivity issue","2025-07-10 15:57:10","EMP0467","EMP0486","Open",NULL,"0.00","0.00","0.00",NULL,"In-house","Major",True,False,"2025-07-10 15:57:10","2025-08-19 15:57:10"
"MNT000102",19,NULL,"Room Cleaning","Critical","Bathroom tap leaking","2025-04-11 15:57:10","EMP0227","EMP0506","Open",NULL,"0.00","0.00","0.00",NULL,"In-house","Minor",False,False,"2025-04-11 15:57:10","2025-08-19 15:57:10"
"MNT000103",42,2240,"Pest Control","Low","Bathroom exhaust fan noise","2025-06-15 15:57:10","EMP0673","EMP0246","On Hold","2025-06-23 15:57:10","2604.57","468.82","3073.39","Paint","Local Contractor","Minor",False,False,"2025-06-15 15:57:10","2025-06-23 15:57:10"
