"room_id","hotel_id","room_number","room_type","bed_type","capacity","size_sqft","base_price_inr","current_status","floor_number","view_type","amenities","gst_rate_percent","created_at","updated_at"
28,29,"234","Pool View","Queen",2,909,"5848.00","Out of Order",2,"Sea View","AC, WiFi, TV, Mini-bar, Safe, Jacuzzi, Heritage Decor","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
29,21,"238","Palace Room","Twin",8,1411,"10548.00","Maintenance",2,"City View","AC, WiFi, TV, Mini-bar, Safe, Tea/Coffee Maker","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
30,7,"635","Business Room","Twin",8,1035,"6222.00","Maintenance",6,"Lake View","AC, WiFi, TV, Safe, Kitchenette, Dining Area","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
31,16,"1538","Business Room","Double",1,1295,"3315.00","Occupied",1,"Pool View","AC, WiFi, TV, Safe, Kitchenette, Dining Area","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
32,12,"721","Standard AC","Queen",1,613,"3245.00","Maintenance",7,"Pool View","AC, WiFi, TV, Mini-bar, Safe, Tea/Coffee Maker","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
33,28,"738","Traditional Haveli Room","Single",7,577,"24216.00","Out of Order",7,"Sea View","AC, WiFi, TV, Mini-bar, Safe, Spa Bath, Private Garden","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
34,5,"726","Honeymoon Suite","Single",4,632,"25576.00","Available",7,"Garden View","AC, WiFi, TV, Mini-bar, Safe, Spa Bath, Private Garden","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
35,35,"421","Pool View","Twin",6,910,"4309.00","Housekeeping",4,"Lake View","AC, WiFi, TV, Safe, Kitchenette, Dining Area","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
36,39,"1840","Pool View","Twin",1,451,"6469.00","Out of Order",1,"Garden View","AC, WiFi, TV, Mini-bar, Safe, Balcony, Room Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
37,17,"1631","Palace Room","King",3,1092,"17810.00","Housekeeping",1,"Pool View","AC, WiFi, TV, Safe, Kitchenette, Dining Area","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
38,20,"622","Honeymoon Suite","Queen",1,1154,"34808.00","Maintenance",6,"Heritage View","AC, WiFi, TV, Mini-bar, Safe, Jacuzzi, Heritage Decor","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
39,42,"209","Garden View","Single",7,1022,"6204.00","Occupied",2,"City View","AC, WiFi, TV, Mini-bar, Safe, Living Area, Butler Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
40,36,"238","Luxury Villa","King",7,555,"11687.00","Housekeeping",2,"City View","AC, WiFi, TV, Mini-bar, Safe, Living Area, Butler Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
41,49,"307","Pool View","King",2,822,"7655.00","Occupied",3,"Mountain View","AC, WiFi, TV, Mini-bar, Safe, Jacuzzi, Heritage Decor","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
42,9,"140","Presidential Suite","Single",6,1410,"16694.00","Occupied",1,"Heritage View","AC, WiFi, TV, Safe, Kitchenette, Dining Area","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
43,30,"409","Honeymoon Suite","Single",3,1044,"8250.00","Out of Order",4,"Lake View","AC, WiFi, TV, Mini-bar, Safe, Spa Bath, Private Garden","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
44,25,"1928","Garden View","Queen",6,961,"5774.00","Available",1,"Pool View","AC, WiFi, TV, Mini-bar, Safe, Balcony, Room Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
45,41,"1920","Deluxe AC","Queen",3,701,"10026.00","Housekeeping",1,"City View","AC, WiFi, TV, Mini-bar, Safe, Living Area, Butler Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
46,46,"219","Family Suite","Twin",5,289,"13573.00","Housekeeping",2,"Heritage View","AC, WiFi, TV, Mini-bar, Safe, Living Area, Butler Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
47,17,"1122","Presidential Suite","Double",5,950,"19696.00","Available",1,"Sea View","AC, WiFi, TV, Mini-bar, Safe, Jacuzzi, Heritage Decor","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
48,13,"202","Presidential Suite","Single",2,684,"30394.00","Out of Order",2,"Pool View","AC, WiFi, TV, Mini-bar, Safe, Jacuzzi, Heritage Decor","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
49,8,"1538","Presidential Suite","Single",4,585,"13547.00","Housekeeping",1,"City View","AC, WiFi, TV, Mini-bar, Safe, Tea/Coffee Maker","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
50,16,"1702","Standard AC","Single",6,238,"3424.00","Maintenance",1,"Lake View","AC, WiFi, TV, Mini-bar, Safe, Balcony, Room Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
51,27,"404","Honeymoon Suite","King",5,754,"12954.00","Out of Order",4,"Mountain View","AC, WiFi, TV, Safe, Kitchenette, Dining Area","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
52,18,"1419","Family Suite","Double",6,1083,"27499.00","Occupied",1,"Pool View","AC, WiFi, TV, Mini-bar, Safe, Jacuzzi, Heritage Decor","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
53,1,"1042","Business Room","Single",8,1247,"5986.00","Occupied",1,"Pool View","AC, WiFi, TV, Mini-bar, Safe, Jacuzzi, Heritage Decor","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
54,4,"747","Business Room","Twin",2,1043,"7834.00","Out of Order",7,"Lake View","AC, WiFi, TV, Mini-bar, Safe, Spa Bath, Private Garden","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
55,30,"949","Royal Suite","Twin",5,719,"19233.00","Out of Order",9,"Lake View","AC, WiFi, TV, Safe, Kitchenette, Dining Area","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
56,5,"834","Maharaja Suite","Twin",8,1203,"33846.00","Maintenance",8,"Garden View","AC, WiFi, TV, Mini-bar, Safe, Spa Bath, Private Garden","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
57,6,"1325","Luxury Villa","Single",6,1187,"9619.00","Occupied",1,"City View","AC, WiFi, TV, Mini-bar, Safe, Jacuzzi, Heritage Decor","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
58,39,"1739","Family Suite","Double",4,942,"20875.00","Available",1,"Garden View","AC, WiFi, TV, Mini-bar, Safe, Living Area, Butler Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
59,28,"1034","Honeymoon Suite","Double",7,1156,"30293.00","Housekeeping",1,"Pool View","AC, WiFi, TV, Safe, Kitchenette, Dining Area","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
60,48,"1108","Palace Room","Queen",8,643,"7198.00","Maintenance",1,"Mountain View","AC, WiFi, TV, Mini-bar, Safe, Living Area, Butler Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
61,39,"1048","Deluxe AC","Double",8,723,"11818.00","Housekeeping",1,"Heritage View","AC, WiFi, TV, Mini-bar, Safe, Tea/Coffee Maker","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
62,12,"1519","Business Room","Queen",8,473,"2643.00","Housekeeping",1,"Lake View","AC, WiFi, TV, Mini-bar, Safe, Tea/Coffee Maker","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
63,39,"1018","Heritage Room","Queen",1,688,"19054.00","Maintenance",1,"Garden View","AC, WiFi, TV, Mini-bar, Safe, Living Area, Butler Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
64,13,"1716","Standard AC","King",1,716,"3813.00","Housekeeping",1,"Sea View","AC, WiFi, TV, Mini-bar, Safe, Balcony, Room Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
65,7,"1013","Palace Room","Single",6,578,"16483.00","Housekeeping",1,"Forest View","AC, WiFi, TV, Mini-bar, Safe, Living Area, Butler Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
66,18,"1418","Standard AC","Twin",7,574,"7281.00","Out of Order",1,"Forest View","AC, WiFi, TV, Mini-bar, Safe, Living Area, Butler Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
67,20,"1809","Presidential Suite","Single",5,889,"8125.00","Out of Order",1,"Sea View","AC, WiFi, TV, Mini-bar, Safe, Balcony, Room Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
68,40,"519","Presidential Suite","King",7,429,"19979.00","Maintenance",5,"Lake View","AC, WiFi, TV, Mini-bar, Safe, Tea/Coffee Maker","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
69,43,"2018","Executive Room","Queen",5,870,"9342.00","Housekeeping",2,"Forest View","AC, WiFi, TV, Mini-bar, Safe, Spa Bath, Private Garden","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
70,22,"528","Royal Suite","Double",7,1480,"14144.00","Out of Order",5,"Garden View","AC, WiFi, TV, Mini-bar, Safe, Living Area, Butler Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
71,9,"131","Executive Room","Double",8,1441,"14504.00","Available",1,"Forest View","AC, WiFi, TV, Mini-bar, Safe, Balcony, Room Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
72,3,"838","Royal Suite","Double",1,311,"24352.00","Housekeeping",8,"Garden View","AC, WiFi, TV, Mini-bar, Safe, Spa Bath, Private Garden","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
73,37,"421","Traditional Haveli Room","Double",1,930,"14255.00","Out of Order",4,"Garden View","AC, WiFi, TV, Mini-bar, Safe, Jacuzzi, Heritage Decor","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
74,44,"1835","Royal Suite","Double",7,1161,"34663.00","Maintenance",1,"Lake View","AC, WiFi, TV, Mini-bar, Safe, Spa Bath, Private Garden","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
75,8,"1404","Maharaja Suite","Single",5,529,"24665.00","Housekeeping",1,"Sea View","AC, WiFi, TV, Mini-bar, Safe, Balcony, Room Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
76,43,"914","Palace Room","King",8,1483,"22281.00","Occupied",9,"Lake View","AC, WiFi, TV, Safe, Kitchenette, Dining Area","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
77,50,"1807","Family Suite","King",2,334,"10708.00","Housekeeping",1,"Lake View","AC, WiFi, TV, Mini-bar, Safe, Spa Bath, Private Garden","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
78,14,"238","Royal Suite","Queen",2,1466,"24135.00","Maintenance",2,"Pool View","AC, WiFi, TV, Mini-bar, Safe, Balcony, Room Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
79,38,"623","Heritage Room","Single",4,588,"16413.00","Housekeeping",6,"City View","AC, WiFi, TV, Mini-bar, Safe, Living Area, Butler Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
80,8,"1738","Executive Room","Double",6,389,"10270.00","Maintenance",1,"Pool View","AC, WiFi, TV, Safe, Kitchenette, Dining Area","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
81,17,"716","Royal Suite","Twin",4,780,"19441.00","Maintenance",7,"Heritage View","AC, WiFi, TV, Mini-bar, Safe, Living Area, Butler Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
82,28,"1611","Palace Room","Queen",7,770,"18419.00","Occupied",1,"Lake View","AC, WiFi, TV, Mini-bar, Safe, Living Area, Butler Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
83,48,"747","Presidential Suite","King",3,1344,"15743.00","Occupied",7,"Mountain View","AC, WiFi, TV, Safe, Kitchenette, Dining Area","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
84,9,"510","Maharaja Suite","Double",5,1033,"31325.00","Housekeeping",5,"Pool View","AC, WiFi, TV, Safe, Kitchenette, Dining Area","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
85,41,"1431","Deluxe AC","Double",8,544,"7886.00","Available",1,"Sea View","AC, WiFi, TV, Mini-bar, Safe, Jacuzzi, Heritage Decor","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
86,14,"539","Deluxe AC","Single",8,852,"7486.00","Maintenance",5,"Garden View","AC, WiFi, TV, Mini-bar, Safe, Tea/Coffee Maker","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
87,3,"708","Family Suite","King",7,699,"14575.00","Out of Order",7,"Forest View","AC, WiFi, TV, Safe, Kitchenette, Dining Area","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
88,30,"1921","Garden View","Double",4,698,"7838.00","Occupied",1,"Pool View","AC, WiFi, TV, Safe, Kitchenette, Dining Area","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
89,5,"1524","Traditional Haveli Room","Twin",2,451,"11760.00","Housekeeping",1,"City View","AC, WiFi, TV, Mini-bar, Safe, Balcony, Room Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
90,28,"311","Executive Room","Twin",2,1016,"14050.00","Occupied",3,"Garden View","AC, WiFi, TV, Mini-bar, Safe, Balcony, Room Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
91,22,"1045","Family Suite","King",6,398,"24365.00","Housekeeping",1,"Mountain View","AC, WiFi, TV, Mini-bar, Safe, Balcony, Room Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
92,7,"723","Deluxe AC","Double",5,1417,"8757.00","Occupied",7,"Forest View","AC, WiFi, TV, Safe, Kitchenette, Dining Area","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
93,48,"1345","Family Suite","Twin",1,1154,"14131.00","Available",1,"Sea View","AC, WiFi, TV, Mini-bar, Safe, Balcony, Room Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
94,49,"1820","Traditional Haveli Room","Queen",4,1400,"13605.00","Housekeeping",1,"Mountain View","AC, WiFi, TV, Mini-bar, Safe, Living Area, Butler Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
95,27,"1925","Heritage Room","Queen",6,1369,"19183.00","Housekeeping",1,"Mountain View","AC, WiFi, TV, Mini-bar, Safe, Living Area, Butler Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
96,32,"1039","Business Room","Single",6,580,"6994.00","Housekeeping",1,"Lake View","AC, WiFi, TV, Mini-bar, Safe, Jacuzzi, Heritage Decor","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
97,25,"948","Family Suite","Double",3,837,"11736.00","Available",9,"Forest View","AC, WiFi, TV, Mini-bar, Safe, Tea/Coffee Maker","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
98,50,"314","Presidential Suite","Single",6,734,"22753.00","Occupied",3,"Pool View","AC, WiFi, TV, Safe, Kitchenette, Dining Area","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
99,13,"1206","Business Room","King",5,1486,"3489.00","Maintenance",1,"Lake View","AC, WiFi, TV, Mini-bar, Safe, Balcony, Room Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
100,35,"1850","Garden View","Queen",8,1190,"3102.00","Housekeeping",1,"Mountain View","AC, WiFi, TV, Safe, Kitchenette, Dining Area","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
101,32,"1031","Standard AC","King",2,649,"3663.00","Available",1,"City View","AC, WiFi, TV, Mini-bar, Safe, Balcony, Room Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
102,22,"1724","Traditional Haveli Room","Single",5,1154,"18125.00","Maintenance",1,"Pool View","AC, WiFi, TV, Mini-bar, Safe, Tea/Coffee Maker","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
103,6,"1835","Executive Room","Double",7,687,"4365.00","Out of Order",1,"Heritage View","AC, WiFi, TV, Mini-bar, Safe, Tea/Coffee Maker","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
104,10,"1636","Family Suite","Queen",2,384,"34413.00","Out of Order",1,"Heritage View","AC, WiFi, TV, Mini-bar, Safe, Balcony, Room Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
105,48,"1950","Business Room","Single",7,413,"4104.00","Maintenance",1,"Garden View","AC, WiFi, TV, Mini-bar, Safe, Spa Bath, Private Garden","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
106,22,"204","Heritage Room","Double",4,256,"7830.00","Out of Order",2,"Lake View","AC, WiFi, TV, Mini-bar, Safe, Tea/Coffee Maker","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
107,6,"303","Pool View","Twin",8,976,"2679.00","Out of Order",3,"Heritage View","AC, WiFi, TV, Mini-bar, Safe, Balcony, Room Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
108,14,"513","Executive Room","Queen",5,1286,"4071.00","Maintenance",5,"Sea View","AC, WiFi, TV, Safe, Kitchenette, Dining Area","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
109,37,"147","Palace Room","Double",7,442,"20372.00","Out of Order",1,"Garden View","AC, WiFi, TV, Mini-bar, Safe, Living Area, Butler Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
110,5,"1744","Pool View","Double",7,1233,"7138.00","Housekeeping",1,"Sea View","AC, WiFi, TV, Mini-bar, Safe, Tea/Coffee Maker","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
111,23,"340","Family Suite","Double",3,382,"12207.00","Maintenance",3,"Sea View","AC, WiFi, TV, Safe, Kitchenette, Dining Area","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
112,13,"1831","Luxury Villa","Queen",1,1327,"34267.00","Available",1,"Forest View","AC, WiFi, TV, Mini-bar, Safe, Tea/Coffee Maker","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
113,32,"708","Deluxe AC","Twin",1,922,"6072.00","Occupied",7,"Garden View","AC, WiFi, TV, Mini-bar, Safe, Living Area, Butler Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
114,46,"1725","Honeymoon Suite","King",4,1165,"13328.00","Out of Order",1,"City View","AC, WiFi, TV, Safe, Kitchenette, Dining Area","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
115,22,"1947","Family Suite","King",1,1357,"23900.00","Maintenance",1,"Garden View","AC, WiFi, TV, Mini-bar, Safe, Balcony, Room Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
116,15,"223","Garden View","Double",7,1186,"5883.00","Maintenance",2,"Lake View","AC, WiFi, TV, Safe, Kitchenette, Dining Area","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
117,50,"1711","Heritage Room","Queen",7,249,"23539.00","Maintenance",1,"Heritage View","AC, WiFi, TV, Mini-bar, Safe, Spa Bath, Private Garden","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
118,32,"218","Traditional Haveli Room","Twin",1,451,"23953.00","Housekeeping",2,"Lake View","AC, WiFi, TV, Mini-bar, Safe, Jacuzzi, Heritage Decor","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
119,6,"822","Family Suite","Double",1,302,"16753.00","Occupied",8,"Heritage View","AC, WiFi, TV, Safe, Kitchenette, Dining Area","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
120,25,"1330","Maharaja Suite","Double",2,459,"13344.00","Housekeeping",1,"Sea View","AC, WiFi, TV, Mini-bar, Safe, Balcony, Room Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
121,37,"1633","Luxury Villa","Queen",8,813,"18267.00","Available",1,"Pool View","AC, WiFi, TV, Mini-bar, Safe, Jacuzzi, Heritage Decor","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
122,11,"1939","Heritage Room","Single",5,1138,"7786.00","Available",1,"Mountain View","AC, WiFi, TV, Safe, Kitchenette, Dining Area","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
123,17,"743","Executive Room","Double",6,1270,"9598.00","Maintenance",7,"Forest View","AC, WiFi, TV, Mini-bar, Safe, Balcony, Room Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
124,29,"534","Executive Room","Queen",1,906,"8764.00","Housekeeping",5,"City View","AC, WiFi, TV, Mini-bar, Safe, Spa Bath, Private Garden","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
125,25,"1535","Luxury Villa","Double",1,900,"13557.00","Maintenance",1,"Garden View","AC, WiFi, TV, Mini-bar, Safe, Tea/Coffee Maker","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
126,24,"1621","Honeymoon Suite","King",3,499,"13012.00","Maintenance",1,"Pool View","AC, WiFi, TV, Safe, Kitchenette, Dining Area","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
127,23,"632","Maharaja Suite","Twin",3,688,"32811.00","Occupied",6,"Mountain View","AC, WiFi, TV, Mini-bar, Safe, Living Area, Butler Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
128,50,"304","Heritage Room","Single",3,462,"15474.00","Available",3,"Mountain View","AC, WiFi, TV, Mini-bar, Safe, Jacuzzi, Heritage Decor","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
129,28,"1826","Palace Room","Single",3,218,"12537.00","Available",1,"Garden View","AC, WiFi, TV, Mini-bar, Safe, Living Area, Butler Service","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
130,24,"1821","Presidential Suite","Double",3,1072,"31988.00","Maintenance",1,"Pool View","AC, WiFi, TV, Mini-bar, Safe, Spa Bath, Private Garden","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
131,40,"1325","Traditional Haveli Room","Twin",4,908,"22441.00","Out of Order",1,"Heritage View","AC, WiFi, TV, Mini-bar, Safe, Spa Bath, Private Garden","12.00","2025-08-19 00:00:00","2025-08-19 00:00:00"
