"inventory_id","hotel_id","item_name","category","current_stock","minimum_stock","maximum_stock","unit_of_measure","unit_price_inr","total_value_inr","gst_rate_percent","supplier_name","supplier_contact","supplier_gst","last_ordered_date","next_order_date","expiry_date","storage_location","hsn_code","created_at","updated_at"
"INV000014",41,"Hotel Item 14","Room Supplies",313,46,876,"sets","438.11","137128.43","28.00","Indian Hotel Supplies Ltd","+91-78531-33540","74ABCDE9315Z5F1","2025-05-30","2025-09-22","2028-02-13","Housekeeping Store","818680","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000015",5,"Hotel Item 15","Amenities",773,115,2164,"packets","378.90","292889.70","18.00","Indian Hotel Supplies Ltd","+91-65256-37886","34ABCDE2986Z5F1","2025-05-27","2025-08-29",NULL,"Main Store","424250","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000016",50,"Hotel Item 16","Bathroom Supplies",263,39,736,"sets","1422.05","373999.15","18.00","Indian Hotel Supplies Ltd","+91-63376-45743","79ABCDE8220Z5F1","2025-08-06","2025-09-04",NULL,"Kitchen Store","426426","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000017",17,"Hotel Item 17","Bathroom Supplies",862,129,2413,"sets","1048.81","904074.22","12.00","Hotel Essentials India","+91-75415-30527","93ABCDE2863Z5F1","2025-08-06","2025-08-29","2027-09-12","Kitchen Store","819317","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000018",13,"Hotel Item 18","Bathroom Supplies",470,70,1316,"packets","321.85","151269.50","5.00","Hotel Essentials India","+91-92532-26539","45ABCDE8240Z5F1","2025-07-28","2025-08-24","2028-05-10","Housekeeping Store","845072","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000019",32,"Hotel Item 19","Amenities",1249,187,3497,"rolls","727.15","908210.35","18.00","Hotel Essentials India","+91-62677-62362","98ABCDE6094Z5F1","2025-05-18","2025-08-28","2027-10-08","Housekeeping Store","424760","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000020",10,"Hotel Item 20","Kitchen Supplies",536,80,1500,"units","397.64","213135.04","12.00","Indian Hotel Supplies Ltd","+91-66646-57501","73ABCDE7542Z5F1","2025-07-19","2025-09-02",NULL,"Main Store","700410","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000021",44,"Hotel Item 21","Kitchen Supplies",2885,432,8077,"pieces","1092.31","3151314.35","28.00","Hotel Essentials India","+91-77717-36149","76ABCDE2193Z5F1","2025-06-15","2025-09-28","2027-04-14","Housekeeping Store","388295","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000022",23,"Hotel Item 22","Kitchen Supplies",125,18,350,"units","1105.43","138178.75","5.00","Indian Hotel Supplies Ltd","+91-68353-71509","75ABCDE8843Z5F1","2025-06-07","2025-09-09","2026-01-22","Main Store","198476","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000023",49,"Hotel Item 23","Room Supplies",380,57,1064,"packets","772.97","293728.60","12.00","Hotel Essentials India","+91-97658-18774","25ABCDE5017Z5F1","2025-07-22","2025-09-22","2026-12-04","Housekeeping Store","387630","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000024",8,"Hotel Item 24","Amenities",1373,205,3844,"units","625.09","858248.57","12.00","Indian Hotel Supplies Ltd","+91-65760-46713","17ABCDE9459Z5F1","2025-08-10","2025-09-07","2027-04-20","Main Store","731959","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000025",36,"Hotel Item 25","Kitchen Supplies",285,42,798,"units","1037.15","295587.75","5.00","Hotel Essentials India","+91-96478-48227","92ABCDE5641Z5F1","2025-07-17","2025-09-16","2026-05-01","Kitchen Store","824363","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000026",25,"Hotel Item 26","Bathroom Supplies",1137,170,3183,"units","1089.39","1238636.43","18.00","Hotel Essentials India","+91-95825-46848","17ABCDE6318Z5F1","2025-06-12","2025-08-31","2027-10-15","Kitchen Store","868850","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000027",20,"Hotel Item 27","Amenities",1584,237,4435,"packets","483.19","765372.96","12.00","Hotel Essentials India","+91-86615-21861","11ABCDE8767Z5F1","2025-05-08","2025-09-20",NULL,"Main Store","267931","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000028",26,"Hotel Item 28","Room Supplies",1692,253,4737,"units","49.24","83314.08","5.00","Indian Hotel Supplies Ltd","+91-79590-79253","33ABCDE5601Z5F1","2025-07-10","2025-09-28",NULL,"Kitchen Store","439634","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000029",36,"Hotel Item 29","Amenities",2736,410,7660,"sets","983.75","2691540.00","5.00","Hotel Essentials India","+91-77217-35184","14ABCDE8972Z5F1","2025-05-21","2025-09-20","2027-12-12","Housekeeping Store","755086","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000030",41,"Hotel Item 30","Kitchen Supplies",2486,372,6960,"pieces","979.30","2434539.80","18.00","Hotel Essentials India","+91-74532-28350","71ABCDE2562Z5F1","2025-06-05","2025-08-20","2026-03-05","Kitchen Store","113881","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000031",3,"Hotel Item 31","Amenities",2389,358,6689,"units","626.30","1496230.70","28.00","Hotel Essentials India","+91-64909-54118","79ABCDE3484Z5F1","2025-06-07","2025-08-30",NULL,"Main Store","679226","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000032",1,"Hotel Item 32","Amenities",53,7,148,"rolls","325.12","17231.36","28.00","Indian Hotel Supplies Ltd","+91-61664-69827","56ABCDE9056Z5F1","2025-04-28","2025-08-24","2027-04-05","Kitchen Store","843367","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000033",25,"Hotel Item 33","Bathroom Supplies",1491,223,4174,"sets","71.59","106740.69","18.00","Hotel Essentials India","+91-73790-98444","91ABCDE7884Z5F1","2025-07-17","2025-09-08","2028-02-22","Main Store","735611","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000034",31,"Hotel Item 34","Bathroom Supplies",110,16,308,"bottles","689.94","75893.40","5.00","Indian Hotel Supplies Ltd","+91-94041-85269","40ABCDE4468Z5F1","2025-05-13","2025-08-22",NULL,"Housekeeping Store","981132","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000035",45,"Hotel Item 35","Bathroom Supplies",2188,328,6126,"units","662.37","1449265.56","28.00","Indian Hotel Supplies Ltd","+91-85295-76463","52ABCDE6460Z5F1","2025-04-21","2025-09-13","2026-12-06","Housekeeping Store","725268","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000036",40,"Hotel Item 36","Amenities",2934,440,8215,"packets","395.30","1159810.20","5.00","Indian Hotel Supplies Ltd","+91-74595-90922","20ABCDE9170Z5F1","2025-08-18","2025-09-21",NULL,"Housekeeping Store","238455","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000037",38,"Hotel Item 37","Amenities",1560,234,4368,"rolls","1220.91","1904619.60","28.00","Hotel Essentials India","+91-78635-20468","62ABCDE5300Z5F1","2025-05-22","2025-09-17","2026-05-20","Main Store","197571","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000038",49,"Hotel Item 38","Kitchen Supplies",762,114,2133,"packets","1071.78","816696.36","18.00","Hotel Essentials India","+91-83923-12660","19ABCDE2517Z5F1","2025-06-11","2025-10-02",NULL,"Housekeeping Store","710733","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000039",29,"Hotel Item 39","Room Supplies",929,139,2601,"sets","1447.86","1345061.94","12.00","Hotel Essentials India","+91-85794-52665","87ABCDE5364Z5F1","2025-05-13","2025-08-31","2026-08-28","Kitchen Store","186259","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000040",6,"Hotel Item 40","Room Supplies",90,13,251,"units","631.02","56791.80","18.00","Indian Hotel Supplies Ltd","+91-99639-78830","15ABCDE9054Z5F1","2025-06-23","2025-08-20","2027-02-05","Main Store","984495","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000041",39,"Hotel Item 41","Amenities",1668,250,4670,"packets","1111.59","1854132.12","12.00","Indian Hotel Supplies Ltd","+91-96340-72427","80ABCDE2992Z5F1","2025-05-29","2025-09-21",NULL,"Kitchen Store","819677","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000042",32,"Hotel Item 42","Kitchen Supplies",525,78,1470,"packets","82.14","43123.50","12.00","Hotel Essentials India","+91-79598-10311","60ABCDE6695Z5F1","2025-08-06","2025-09-22","2026-07-12","Kitchen Store","974063","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000043",17,"Hotel Item 43","Bathroom Supplies",2997,449,8391,"rolls","569.07","1705502.79","18.00","Hotel Essentials India","+91-92964-25550","82ABCDE4202Z5F1","2025-06-05","2025-09-09",NULL,"Housekeeping Store","814098","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000044",42,"Hotel Item 44","Room Supplies",1720,258,4816,"sets","1117.78","1922581.60","12.00","Indian Hotel Supplies Ltd","+91-78107-28998","69ABCDE1649Z5F1","2025-06-19","2025-09-07",NULL,"Kitchen Store","400377","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000045",5,"Hotel Item 45","Amenities",2271,340,6358,"pieces","937.99","2130175.29","12.00","Indian Hotel Supplies Ltd","+91-76962-88425","68ABCDE2155Z5F1","2025-07-02","2025-09-19","2026-12-10","Kitchen Store","331115","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000046",1,"Hotel Item 46","Amenities",2349,352,6577,"sets","627.57","1474161.93","12.00","Indian Hotel Supplies Ltd","+91-69347-53839","63ABCDE5169Z5F1","2025-06-02","2025-09-29","2027-07-13","Housekeeping Store","380934","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000047",20,"Hotel Item 47","Amenities",2309,346,6465,"packets","467.29","1078972.61","28.00","Hotel Essentials India","+91-73397-24180","18ABCDE9617Z5F1","2025-07-15","2025-09-25","2026-01-13","Main Store","167399","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000048",28,"Hotel Item 48","Bathroom Supplies",1647,247,4611,"units","378.95","624130.65","18.00","Hotel Essentials India","+91-96341-98096","37ABCDE5883Z5F1","2025-04-26","2025-09-16",NULL,"Main Store","154599","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000049",37,"Hotel Item 49","Bathroom Supplies",2634,395,7375,"pieces","197.35","519819.90","12.00","Indian Hotel Supplies Ltd","+91-68859-54532","81ABCDE2107Z5F1","2025-05-20","2025-09-29",NULL,"Housekeeping Store","134057","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000050",32,"Hotel Item 50","Amenities",2685,402,7517,"rolls","338.22","908120.70","18.00","Hotel Essentials India","+91-84000-89476","44ABCDE7817Z5F1","2025-05-14","2025-08-25","2026-05-08","Housekeeping Store","435958","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000051",4,"Hotel Item 51","Amenities",655,98,1833,"sets","147.37","96527.35","5.00","Indian Hotel Supplies Ltd","+91-87290-22779","56ABCDE6169Z5F1","2025-05-05","2025-09-12",NULL,"Housekeeping Store","947660","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000052",25,"Hotel Item 52","Room Supplies",1508,226,4222,"pieces","576.83","869859.64","28.00","Indian Hotel Supplies Ltd","+91-81064-32037","43ABCDE2040Z5F1","2025-07-23","2025-08-24","2027-11-05","Kitchen Store","498198","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000053",34,"Hotel Item 53","Amenities",776,116,2172,"rolls","418.99","325136.24","12.00","Hotel Essentials India","+91-71018-71712","65ABCDE7951Z5F1","2025-08-15","2025-09-22",NULL,"Kitchen Store","268183","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000054",11,"Hotel Item 54","Room Supplies",2242,336,6277,"units","1442.44","3233950.48","18.00","Indian Hotel Supplies Ltd","+91-98649-46163","15ABCDE3006Z5F1","2025-04-23","2025-09-21","2026-08-10","Housekeeping Store","256271","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000055",33,"Hotel Item 55","Kitchen Supplies",1766,264,4944,"pieces","308.98","545658.68","18.00","Hotel Essentials India","+91-78914-66073","71ABCDE7502Z5F1","2025-05-30","2025-09-22",NULL,"Kitchen Store","753245","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000056",25,"Hotel Item 56","Room Supplies",1533,229,4292,"rolls","1045.61","1602920.13","5.00","Hotel Essentials India","+91-68932-83927","89ABCDE4856Z5F1","2025-08-12","2025-09-08",NULL,"Kitchen Store","245950","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000057",11,"Hotel Item 57","Kitchen Supplies",1541,231,4314,"bottles","318.27","490454.07","5.00","Hotel Essentials India","+91-91756-86649","92ABCDE8009Z5F1","2025-07-31","2025-08-26","2028-08-14","Housekeeping Store","128977","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000058",4,"Hotel Item 58","Kitchen Supplies",2882,432,8069,"rolls","408.93","1178536.26","12.00","Hotel Essentials India","+91-85419-43978","45ABCDE7306Z5F1","2025-06-22","2025-09-04","2028-06-10","Housekeeping Store","953310","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000059",23,"Hotel Item 59","Bathroom Supplies",2814,422,7879,"bottles","1055.98","2971527.72","28.00","Hotel Essentials India","+91-97367-54520","55ABCDE6410Z5F1","2025-06-06","2025-08-25",NULL,"Housekeeping Store","163250","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000060",44,"Hotel Item 60","Room Supplies",2007,301,5619,"sets","1469.08","2948443.56","12.00","Indian Hotel Supplies Ltd","+91-97971-60166","98ABCDE7968Z5F1","2025-05-22","2025-09-02","2027-02-08","Kitchen Store","995780","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000061",41,"Hotel Item 61","Room Supplies",2480,372,6944,"sets","591.20","1466176.00","12.00","Indian Hotel Supplies Ltd","+91-93937-65076","19ABCDE4668Z5F1","2025-04-23","2025-09-24",NULL,"Housekeeping Store","799263","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000062",48,"Hotel Item 62","Amenities",1766,264,4944,"bottles","988.18","1745125.88","5.00","Hotel Essentials India","+91-97725-48648","93ABCDE9945Z5F1","2025-08-14","2025-09-30","2028-06-25","Main Store","513280","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000063",29,"Hotel Item 63","Bathroom Supplies",2268,340,6350,"packets","1037.24","2352460.32","5.00","Hotel Essentials India","+91-86293-71246","71ABCDE7406Z5F1","2025-05-29","2025-09-16",NULL,"Main Store","533350","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000064",21,"Hotel Item 64","Kitchen Supplies",1743,261,4880,"packets","46.10","80352.30","12.00","Indian Hotel Supplies Ltd","+91-91576-87750","25ABCDE7639Z5F1","2025-07-08","2025-09-22","2026-11-24","Main Store","227710","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000065",39,"Hotel Item 65","Bathroom Supplies",2650,397,7419,"bottles","454.87","1205405.50","12.00","Indian Hotel Supplies Ltd","+91-99276-94655","83ABCDE9866Z5F1","2025-05-31","2025-09-12","2027-04-04","Kitchen Store","806193","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000066",11,"Hotel Item 66","Amenities",587,88,1643,"sets","410.26","240822.62","5.00","Hotel Essentials India","+91-78375-37646","79ABCDE9808Z5F1","2025-08-10","2025-09-28","2026-10-07","Main Store","242630","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000067",36,"Hotel Item 67","Kitchen Supplies",1737,260,4863,"pieces","1339.04","2325912.48","5.00","Hotel Essentials India","+91-77896-82033","69ABCDE8293Z5F1","2025-05-25","2025-09-22",NULL,"Housekeeping Store","549139","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000068",32,"Hotel Item 68","Kitchen Supplies",2701,405,7562,"bottles","613.32","1656577.32","28.00","Indian Hotel Supplies Ltd","+91-77070-86221","83ABCDE9967Z5F1","2025-04-26","2025-09-19","2027-08-12","Kitchen Store","230779","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000069",10,"Hotel Item 69","Kitchen Supplies",2815,422,7881,"sets","298.19","839404.85","18.00","Hotel Essentials India","+91-89426-51348","53ABCDE2996Z5F1","2025-07-31","2025-09-06","2027-06-13","Main Store","883345","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000070",33,"Hotel Item 70","Kitchen Supplies",1443,216,4040,"pieces","328.64","474227.52","28.00","Hotel Essentials India","+91-77996-48137","92ABCDE2392Z5F1","2025-07-24","2025-09-10",NULL,"Housekeeping Store","581963","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000071",12,"Hotel Item 71","Amenities",1612,241,4513,"units","1139.03","1836116.36","28.00","Indian Hotel Supplies Ltd","+91-95891-45153","23ABCDE9177Z5F1","2025-07-01","2025-10-01",NULL,"Main Store","799073","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000072",23,"Hotel Item 72","Amenities",1931,289,5406,"bottles","425.75","822123.25","28.00","Indian Hotel Supplies Ltd","+91-77248-30530","89ABCDE2584Z5F1","2025-06-22","2025-08-26","2027-11-08","Main Store","391255","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000073",49,"Hotel Item 73","Bathroom Supplies",1181,177,3306,"bottles","237.89","280948.09","18.00","Hotel Essentials India","+91-97681-68529","45ABCDE9452Z5F1","2025-08-07","2025-09-22","2026-11-29","Kitchen Store","148467","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000074",11,"Hotel Item 74","Bathroom Supplies",2338,350,6546,"sets","374.50","875581.00","12.00","Indian Hotel Supplies Ltd","+91-61125-36346","66ABCDE1724Z5F1","2025-06-27","2025-09-04",NULL,"Housekeeping Store","438392","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000075",17,"Hotel Item 75","Bathroom Supplies",2669,400,7473,"bottles","436.21","1164244.49","28.00","Hotel Essentials India","+91-89203-21687","11ABCDE4524Z5F1","2025-05-03","2025-08-24",NULL,"Kitchen Store","577493","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000076",30,"Hotel Item 76","Amenities",881,132,2466,"bottles","1290.00","1136490.00","28.00","Indian Hotel Supplies Ltd","+91-91486-42267","70ABCDE8334Z5F1","2025-08-06","2025-09-17","2027-11-15","Main Store","384885","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000077",40,"Hotel Item 77","Room Supplies",130,19,364,"sets","56.17","7302.10","28.00","Indian Hotel Supplies Ltd","+91-61831-74454","30ABCDE2635Z5F1","2025-05-01","2025-09-09",NULL,"Main Store","186252","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000078",36,"Hotel Item 78","Bathroom Supplies",2629,394,7361,"sets","327.14","860051.06","5.00","Hotel Essentials India","+91-75842-31553","76ABCDE5104Z5F1","2025-06-27","2025-09-24","2027-02-11","Housekeeping Store","947545","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000079",45,"Hotel Item 79","Kitchen Supplies",2669,400,7473,"units","1165.55","3110852.95","12.00","Indian Hotel Supplies Ltd","+91-92793-14878","95ABCDE2854Z5F1","2025-07-19","2025-08-27","2027-09-28","Main Store","433243","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000080",19,"Hotel Item 80","Bathroom Supplies",842,126,2357,"sets","455.73","383724.66","5.00","Hotel Essentials India","+91-68966-14410","33ABCDE6855Z5F1","2025-08-15","2025-08-31",NULL,"Housekeeping Store","905518","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000081",18,"Hotel Item 81","Kitchen Supplies",1610,241,4508,"packets","1415.81","2279454.10","28.00","Indian Hotel Supplies Ltd","+91-87172-47262","53ABCDE1697Z5F1","2025-07-12","2025-08-29","2026-02-12","Kitchen Store","724919","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000082",14,"Hotel Item 82","Bathroom Supplies",91,13,254,"units","1392.43","126711.13","5.00","Indian Hotel Supplies Ltd","+91-84995-39188","80ABCDE5892Z5F1","2025-06-30","2025-09-20",NULL,"Main Store","720118","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000083",38,"Hotel Item 83","Amenities",770,115,2156,"bottles","750.19","577646.30","18.00","Indian Hotel Supplies Ltd","+91-61836-27616","63ABCDE6873Z5F1","2025-07-30","2025-09-25","2027-11-29","Main Store","511667","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000084",39,"Hotel Item 84","Room Supplies",1116,167,3124,"bottles","511.82","571191.12","12.00","Indian Hotel Supplies Ltd","+91-96542-52917","93ABCDE5328Z5F1","2025-07-22","2025-09-01","2026-05-22","Housekeeping Store","128080","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000085",37,"Hotel Item 85","Kitchen Supplies",2792,418,7817,"rolls","1112.34","3105653.28","12.00","Hotel Essentials India","+91-81815-38521","35ABCDE9104Z5F1","2025-07-18","2025-09-04","2027-02-22","Main Store","215291","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000086",12,"Hotel Item 86","Bathroom Supplies",630,94,1764,"pieces","1373.41","865248.30","12.00","Hotel Essentials India","+91-86574-75100","97ABCDE2800Z5F1","2025-08-13","2025-09-11","2026-04-27","Main Store","580753","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000087",4,"Hotel Item 87","Room Supplies",1190,178,3332,"sets","996.01","1185251.90","28.00","Hotel Essentials India","+91-61449-92151","23ABCDE2773Z5F1","2025-06-17","2025-09-21",NULL,"Housekeeping Store","660984","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000088",28,"Hotel Item 88","Amenities",2109,316,5905,"packets","437.08","921801.72","5.00","Indian Hotel Supplies Ltd","+91-81698-54619","24ABCDE4971Z5F1","2025-05-02","2025-09-10","2026-06-18","Main Store","792950","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000089",1,"Hotel Item 89","Kitchen Supplies",357,53,999,"packets","692.09","247076.13","18.00","Indian Hotel Supplies Ltd","+91-61806-95450","62ABCDE7976Z5F1","2025-07-31","2025-09-06",NULL,"Main Store","925187","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000090",48,"Hotel Item 90","Amenities",1362,204,3813,"pieces","937.59","1276997.58","18.00","Indian Hotel Supplies Ltd","+91-88528-15790","52ABCDE7777Z5F1","2025-08-15","2025-09-02","2027-12-28","Main Store","206736","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000091",42,"Hotel Item 91","Kitchen Supplies",1453,217,4068,"pieces","1012.47","1471118.91","5.00","Indian Hotel Supplies Ltd","+91-65997-28198","44ABCDE7683Z5F1","2025-06-15","2025-08-21",NULL,"Housekeeping Store","666653","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000092",36,"Hotel Item 92","Bathroom Supplies",1103,165,3088,"pieces","322.97","356235.91","28.00","Indian Hotel Supplies Ltd","+91-77267-60441","31ABCDE4584Z5F1","2025-07-07","2025-09-26","2027-11-23","Main Store","198879","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000093",12,"Hotel Item 93","Amenities",2347,352,6571,"packets","417.23","979238.81","18.00","Hotel Essentials India","+91-99774-12067","47ABCDE2326Z5F1","2025-08-15","2025-10-02","2026-12-11","Main Store","416249","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000094",36,"Hotel Item 94","Bathroom Supplies",1262,189,3533,"sets","1303.82","1645420.84","12.00","Hotel Essentials India","+91-68617-19673","91ABCDE6912Z5F1","2025-07-09","2025-10-01","2027-06-28","Main Store","746248","2025-08-19 00:00:00","2025-08-19 00:00:00"
"INV000095",20,"Hotel Item 95","Room Supplies",2433,364,6812,"pieces","912.84","2220939.72","18.00","Hotel Essentials India","+91-84109-42024","78ABCDE4254Z5F1","2025-07-03","2025-09-18","2027-08-23","Kitchen Store","819329","2025-08-19 00:00:00","2025-08-19 00:00:00"
