"hotel_id","hotel_name","address","city","state","country","phone","email","website","star_rating","total_rooms","check_in_time","check_out_time","amenities","gst_number","pan_number","created_at","updated_at"
21,"Amritsar Golden Temple Hotel","889, Station Road","Ahmedabad","Gujarat","India","+91-81604-66673","info@amritsargoldent.in","www.amritsargoldent.in",5,69,"14:00:00","12:00:00","WiFi, AC, Restaurant, Spa, Pool, Ayurveda Center, Yoga","80ABCDEF8795","KLMNO3853D","2021-11-05 00:00:00","2025-08-19 00:00:00"
22,"Varanasi Ganges View Hotel","668, Commercial Street","Tawang","Arunachal Pradesh","India","+91-93707-93773","info@varanasigangesv.in","www.varanasigangesv.in",4,92,"14:00:00","12:00:00","WiFi, AC, Restaurant, Spa, Pool, Ayurveda Center, Yoga","85STUVWX9432","KLMNO2398D","2022-11-06 00:00:00","2025-08-19 00:00:00"
23,"Haridwar Spiritual Resort","513, Mall Road","Coorg","Karnataka","India","+91-89840-55908","info@haridwarspiritu.in","www.haridwarspiritu.in",4,121,"14:00:00","12:00:00","WiFi, AC, Business Center, Conference Rooms, Gym, Travel Desk","81GHIJKL6899","ABCDE8313A","2019-05-09 00:00:00","2025-08-19 00:00:00"
24,"Coorg Coffee Plantation Resort","228, Station Road","Allahabad","Uttar Pradesh","India","+91-88684-97792","info@coorgcoffeeplan.in","www.coorgcoffeeplan.in",4,169,"14:00:00","12:00:00","WiFi, AC, Restaurant, Spa, Pool, Ayurveda Center, Yoga","57MNOPQR2953","FGHIJ4798B","2022-06-12 00:00:00","2025-08-19 00:00:00"
25,"Ooty Hill Station Hotel","32, Mall Road","Agra","Uttar Pradesh","India","+91-75695-73576","info@ootyhillstation.in","www.ootyhillstation.in",3,160,"14:00:00","12:00:00","WiFi, AC, Business Center, Conference Rooms, Gym, Travel Desk","60MNOPQR5903","FGHIJ4527C","2022-09-01 00:00:00","2025-08-19 00:00:00"
26,"Munnar Tea Valley Resort","233, Station Road","Lucknow","Uttar Pradesh","India","+91-73456-57030","info@munnarteavalley.in","www.munnarteavalley.in",4,159,"14:00:00","12:00:00","WiFi, AC, Heritage Architecture, Cultural Shows, Garden, Library","48STUVWX9217","PQRST8985C","2021-08-19 00:00:00","2025-08-19 00:00:00"
27,"Kodaikanal Lake Resort","118, Gandhi Road","Manali","Himachal Pradesh","India","+91-73429-37405","info@kodaikanallaker.in","www.kodaikanallaker.in",5,42,"14:00:00","12:00:00","WiFi, AC, Multi-cuisine Restaurant, Banquet Hall, Parking, Gym","31GHIJKL1241","ABCDE3780B","2020-12-22 00:00:00","2025-08-19 00:00:00"
28,"Mount Abu Desert Resort","13, Station Road","Lucknow","Uttar Pradesh","India","+91-91271-37435","info@mountabudesertr.in","www.mountabudesertr.in",3,133,"14:00:00","12:00:00","WiFi, AC, Restaurant, Spa, Pool, Ayurveda Center, Yoga","18YZ12344554","PQRST4882B","2023-07-12 00:00:00","2025-08-19 00:00:00"
29,"Pushkar Camel Safari Lodge","805, Park Street","Kanpur","Uttar Pradesh","India","+91-99992-39337","info@pushkarcamelsaf.in","www.pushkarcamelsaf.in",3,157,"14:00:00","12:00:00","WiFi, AC, Business Center, Conference Rooms, Gym, Travel Desk","26MNOPQR5908","FGHIJ5910B","2024-01-24 00:00:00","2025-08-19 00:00:00"
30,"Jodhpur Blue City Hotel","426, Mall Road","Kodaikanal","Tamil Nadu","India","+91-74243-53955","info@jodhpurbluecity.in","www.jodhpurbluecity.in",3,125,"14:00:00","12:00:00","WiFi, AC, Heritage Architecture, Cultural Shows, Garden, Library","63MNOPQR5845","UVWXY8847D","2020-09-12 00:00:00","2025-08-19 00:00:00"
31,"Bikaner Desert Palace","477, Station Road","Bhopal","Madhya Pradesh","India","+91-92641-20027","info@bikanerdesertpa.in","www.bikanerdesertpa.in",5,178,"14:00:00","12:00:00","WiFi, AC, Multi-cuisine Restaurant, Banquet Hall, Parking, Gym","99YZ12342058","UVWXY7023D","2021-02-09 00:00:00","2025-08-19 00:00:00"
32,"Jaisalmer Golden Fort Hotel","583, Commercial Street","Mahabalipuram","Tamil Nadu","India","+91-62111-40356","info@jaisalmergolden.in","www.jaisalmergolden.in",3,60,"14:00:00","12:00:00","WiFi, AC, Business Center, Conference Rooms, Gym, Travel Desk","81GHIJKL6837","KLMNO1948C","2019-05-23 00:00:00","2025-08-19 00:00:00"
33,"Ranthambore Wildlife Resort","658, Park Street","Kaziranga","Assam","India","+91-97309-45925","info@ranthamborewild.in","www.ranthamborewild.in",3,105,"14:00:00","12:00:00","WiFi, AC, Restaurant, Spa, Pool, Ayurveda Center, Yoga","28YZ12344826","KLMNO7229B","2024-06-22 00:00:00","2025-08-19 00:00:00"
34,"Jim Corbett Jungle Lodge","681, Connaught Place","Bangalore","Karnataka","India","+91-86294-82706","info@jimcorbettjungl.in","www.jimcorbettjungl.in",5,155,"14:00:00","12:00:00","WiFi, AC, Heritage Architecture, Cultural Shows, Garden, Library","58MNOPQR4012","ABCDE6400A","2019-09-23 00:00:00","2025-08-19 00:00:00"
35,"Kaziranga Elephant Resort","901, Commercial Street","Nashik","Maharashtra","India","+91-94864-50670","info@kazirangaelepha.in","www.kazirangaelepha.in",3,46,"14:00:00","12:00:00","WiFi, AC, Multi-cuisine Restaurant, Banquet Hall, Parking, Gym","99ABCDEF8058","KLMNO9131B","2023-08-20 00:00:00","2025-08-19 00:00:00"
36,"Sundarbans Mangrove Lodge","308, Station Road","Bhopal","Madhya Pradesh","India","+91-87564-56946","info@sundarbansmangr.in","www.sundarbansmangr.in",5,177,"14:00:00","12:00:00","WiFi, AC, Business Center, Conference Rooms, Gym, Travel Desk","73YZ12348065","FGHIJ6095C","2023-06-11 00:00:00","2025-08-19 00:00:00"
37,"Ladakh Mountain Resort","640, Commercial Street","Shimla","Himachal Pradesh","India","+91-82673-97436","info@ladakhmountainr.in","www.ladakhmountainr.in",4,170,"14:00:00","12:00:00","WiFi, AC, Multi-cuisine Restaurant, Banquet Hall, Parking, Gym","46YZ12346775","ABCDE1022D","2019-02-04 00:00:00","2025-08-19 00:00:00"
38,"Srinagar Houseboat Hotel","776, Brigade Road","Haridwar","Uttarakhand","India","+91-85319-41096","info@srinagarhousebo.in","www.srinagarhousebo.in",3,126,"14:00:00","12:00:00","WiFi, AC, Business Center, Conference Rooms, Gym, Travel Desk","63ABCDEF6645","PQRST6261D","2020-09-16 00:00:00","2025-08-19 00:00:00"
39,"Dharamshala Tibetan Resort","515, Park Street","Dharamshala","Himachal Pradesh","India","+91-84897-15234","info@dharamshalatibe.in","www.dharamshalatibe.in",3,153,"14:00:00","12:00:00","WiFi, AC, Restaurant, Spa, Pool, Ayurveda Center, Yoga","57GHIJKL8740","FGHIJ6825D","2024-05-16 00:00:00","2025-08-19 00:00:00"
40,"McLeod Ganj Monastery Hotel","593, Brigade Road","Rajkot","Gujarat","India","+91-66879-47388","info@mcleodganjmonas.in","www.mcleodganjmonas.in",3,97,"14:00:00","12:00:00","WiFi, AC, Multi-cuisine Restaurant, Banquet Hall, Parking, Gym","74STUVWX8134","ABCDE3497A","2019-05-05 00:00:00","2025-08-19 00:00:00"
41,"Spiti Valley High Altitude Lodge","184, Brigade Road","Port Blair","Andaman & Nicobar","India","+91-93223-73418","info@spitivalleyhigh.in","www.spitivalleyhigh.in",4,81,"14:00:00","12:00:00","WiFi, AC, Restaurant, Spa, Pool, Ayurveda Center, Yoga","46STUVWX4249","FGHIJ9165B","2023-04-12 00:00:00","2025-08-19 00:00:00"
42,"Tawang Buddhist Retreat","714, Gandhi Road","Kolkata","West Bengal","India","+91-82432-65024","info@tawangbuddhistr.in","www.tawangbuddhistr.in",3,127,"14:00:00","12:00:00","WiFi, AC, Restaurant, Spa, Pool, Ayurveda Center, Yoga","87MNOPQR8757","ABCDE6025D","2022-03-18 00:00:00","2025-08-19 00:00:00"
43,"Gangtok Himalayan Resort","362, Brigade Road","Jaisalmer","Rajasthan","India","+91-61096-90129","info@gangtokhimalaya.in","www.gangtokhimalaya.in",3,147,"14:00:00","12:00:00","WiFi, AC, Heritage Architecture, Cultural Shows, Garden, Library","44ABCDEF2158","KLMNO6356B","2018-10-22 00:00:00","2025-08-19 00:00:00"
44,"Pelling Kanchenjunga View Hotel","173, Commercial Street","Indore","Madhya Pradesh","India","+91-79963-71759","info@pellingkanchenj.in","www.pellingkanchenj.in",4,156,"14:00:00","12:00:00","WiFi, AC, Business Center, Conference Rooms, Gym, Travel Desk","50GHIJKL6326","UVWXY7101B","2023-12-18 00:00:00","2025-08-19 00:00:00"
45,"Sikkim Organic Farm Resort","784, Gandhi Road","Mahabalipuram","Tamil Nadu","India","+91-96586-89715","info@sikkimorganicfa.in","www.sikkimorganicfa.in",4,146,"14:00:00","12:00:00","WiFi, AC, Restaurant, Spa, Pool, Ayurveda Center, Yoga","56MNOPQR7039","UVWXY8632A","2022-10-28 00:00:00","2025-08-19 00:00:00"
46,"Andaman Coral Resort","240, Gandhi Road","Pune","Maharashtra","India","+91-85474-44690","info@andamancoralres.in","www.andamancoralres.in",5,84,"14:00:00","12:00:00","WiFi, AC, Business Center, Conference Rooms, Gym, Travel Desk","18STUVWX2906","KLMNO4753C","2019-12-19 00:00:00","2025-08-19 00:00:00"
47,"Lakshadweep Island Resort","650, Park Street","Ooty","Tamil Nadu","India","+91-77786-82414","info@lakshadweepisla.in","www.lakshadweepisla.in",5,138,"14:00:00","12:00:00","WiFi, AC, Heritage Architecture, Cultural Shows, Garden, Library","57GHIJKL4535","ABCDE2381C","2022-02-09 00:00:00","2025-08-19 00:00:00"
48,"Pondicherry French Quarter Hotel","99, Connaught Place","Agra","Uttar Pradesh","India","+91-93871-66699","info@pondicherryfren.in","www.pondicherryfren.in",3,87,"14:00:00","12:00:00","WiFi, AC, Restaurant, Spa, Pool, Ayurveda Center, Yoga","65MNOPQR7496","UVWXY9409D","2019-05-11 00:00:00","2025-08-19 00:00:00"
49,"Mahabalipuram Beach Resort","7, Gandhi Road","Kaziranga","Assam","India","+91-92411-23380","info@mahabalipurambe.in","www.mahabalipurambe.in",3,153,"14:00:00","12:00:00","WiFi, AC, Business Center, Conference Rooms, Gym, Travel Desk","46YZ12343943","ABCDE6815D","2019-08-10 00:00:00","2025-08-19 00:00:00"
50,"Hampi Heritage Hotel","176, Mall Road","Goa","Goa","India","+91-96999-18437","info@hampiheritageho.in","www.hampiheritageho.in",4,148,"14:00:00","12:00:00","WiFi, AC, Restaurant, Spa, Pool, Ayurveda Center, Yoga","47GHIJKL3473","UVWXY1708D","2021-07-14 00:00:00","2025-08-19 00:00:00"
